"FIPS","county","city","pop","type","households","people.per.household","civildivision","CTU"
"2700100460","Aitkin","Aitkin",2129,"city",928,2.06573275862069,"Aitkin city","2700102393894"
"2700100478","Aitkin","Aitkin",835,"township",348,2.34195402298851,"Aitkin township","2700100663389"
"2700103358","Aitkin","Ball Bluff",256,"township",122,2.09836065573771,"Ball Bluff township","2700100663498"
"2700103412","Aitkin","Balsam",40,"township",20,2,"Balsam township","2700100663499"
"2700104384","Aitkin","Beaver",47,"township",28,1.67857142857143,"Beaver township","2700100663536"
"2700111620","Aitkin","Clark",147,"township",62,2.37096774193548,"Clark township","2700100663807"
"2700113330","Aitkin","Cornish",30,"township",15,2,"Cornish township","2700100663874"
"2700120654","Aitkin","Farm Island",1063,"township",483,2.2008281573499,"Farm Island township","2700100664148"
"2700121230","Aitkin","Fleming",312,"township",158,1.9746835443038,"Fleming township","2700100664173"
"2700123930","Aitkin","Glen",427,"township",214,1.99532710280374,"Glen township","2700100664275"
"2700127602","Aitkin","Haugen",181,"township",94,1.92553191489362,"Haugen township","2700100664413"
"2700128052","Aitkin","Hazelton",847,"township",402,2.10696517412935,"Hazelton township","2700100664432"
"2700129096","Aitkin","Hill City",627,"city",271,2.27306273062731,"Hill City city","2700100664474"
"2700129114","Aitkin","Hill Lake",420,"township",170,2.47058823529412,"Hill Lake township","2700100664475"
"2700130788","Aitkin","Idun",249,"township",95,2.62105263157895,"Idun township","2700100664541"
"2700131958","Aitkin","Jevne",319,"township",126,2.49206349206349,"Jevne township","2700100664582"
"2700133218","Aitkin","Kimberly",183,"township",87,2.10344827586207,"Kimberly township","2700100664633"
"2700134982","Aitkin","Lakeside",440,"township",226,1.94690265486726,"Lakeside township","2700100664701"
"2700136152","Aitkin","Lee",47,"township",21,2.23809523809524,"Lee township","2700100664743"
"2700136908","Aitkin","Libby",47,"township",27,1.74074074074074,"Libby township","2700100664774"
"2700137844","Aitkin","Logan",169,"township",78,2.16666666666667,"Logan township","2700100664811"
"2700138996","Aitkin","McGrath",77,"city",32,2.0625,"McGrath city","2700102395067"
"2700139014","Aitkin","McGregor",385,"city",179,2.15083798882682,"McGregor city","2700102395068"
"2700139032","Aitkin","McGregor",94,"township",44,2.13636363636364,"McGregor township","2700100664860"
"2700139212","Aitkin","Macville",196,"township",83,2.36144578313253,"Macville township","2700100664867"
"2700139590","Aitkin","Malmo",323,"township",160,2.01875,"Malmo township","2700100664880"
"2700142300","Aitkin","Millward",70,"township",37,1.89189189189189,"Millward township","2700100664977"
"2700144278","Aitkin","Morrison",189,"township",75,2.52,"Morrison township","2700100665039"
"2700146546","Aitkin","Nordland",965,"township",445,2.16179775280899,"Nordland township","2700100665134"
"2700149498","Aitkin","Palisade",166,"city",74,2.24324324324324,"Palisade city","2700102396128"
"2700151694","Aitkin","Pliny",91,"township",46,1.97826086956522,"Pliny township","2700100665326"
"2700154106","Aitkin","Rice River",136,"township",68,2,"Rice River township","2700100665409"
"2700158270","Aitkin","Salo",87,"township",44,1.97727272727273,"Salo township","2700100665539"
"2700159134","Aitkin","Seavey",59,"township",32,1.84375,"Seavey township","2700100665572"
"2700159368","Aitkin","Shamrock",1235,"township",638,1.93573667711599,"Shamrock township","2700100665582"
"2700161546","Aitkin","Spalding",304,"township",112,2.71428571428571,"Spalding township","2700100665658"
"2700161654","Aitkin","Spencer",495,"township",210,2.31904761904762,"Spencer township","2700100665661"
"2700164156","Aitkin","Tamarack",83,"city",36,2.30555555555556,"Tamarack city","2700102396028"
"2700165722","Aitkin","Turner",208,"township",94,2.21276595744681,"Turner township","2700100665817"
"2700166748","Aitkin","Verdon",39,"township",19,2.05263157894737,"Verdon township","2700100665856"
"2700167540","Aitkin","Wagner",322,"township",149,2.16107382550336,"Wagner township","2700100665891"
"2700168692","Aitkin","Waukenabo",328,"township",146,2.24657534246575,"Waukenabo township","2700100665938"
"2700168872","Aitkin","Wealthwood",263,"township",135,1.94814814814815,"Wealthwood township","2700100665944"
"2700170132","Aitkin","White Pine",30,"township",15,2,"White Pine township","2700100665990"
"2700170384","Aitkin","Williams",127,"township",62,2.04838709677419,"Williams township","2700100665997"
"2700171716","Aitkin","Workman",202,"township",93,2.17204301075269,"Workman township","2700100666051"
"2700199901","Aitkin","Aitkin Co.",426,"Unorganized",191,2.2303664921466,"Aitkin Co. Unorganized","2700199999901"
"2700301486","Anoka","Andover",31704,"city",10257,3.0801,"Andover city","2700302393954"
"2700301720","Anoka","Anoka",17665,"city",7374,2.2834,"Anoka city","2700302393964"
"2700305554","Anoka","Bethel",473,"city",178,2.6011,"Bethel city","2700302394156"
"2700306382","Anoka","Blaine",63180,"city",23104,2.7261,"Blaine city (part)","2700302394183"
"2700310648","Anoka","Centerville",4005,"city",1345,2.9717,"Centerville city","2700302393784"
"2700311494","Anoka","Circle Pines",4904,"city",1995,2.4561,"Circle Pines city","2700302393526"
"2700312700","Anoka","Columbia Heights",19995,"city",8141,2.4264,"Columbia Heights city","2700302393607"
"2700312718","Anoka","Columbus",3828,"city",1426,2.6795,"Columbus city","2700302393610"
"2700313114","Anoka","Coon Rapids",62527,"city",24023,2.5829,"Coon Rapids city","2700302393628"
"2700317486","Anoka","East Bethel",11761,"city",4115,2.8505,"East Bethel city","2700302394596"
"2700322814","Anoka","Fridley",28547,"city",11530,2.4569,"Fridley city","2700302394826"
"2700326738","Anoka","Ham Lake",15773,"city",5358,2.9378,"Ham Lake city","2700302394273"
"2700329258","Anoka","Hilltop",799,"city",388,2.0593,"Hilltop city","2700302394389"
"2700336836","Anoka","Lexington",2040,"city",772,2.6373,"Lexington city","2700302395696"
"2700337322","Anoka","Lino Lakes",20519,"city",6412,2.9782,"Lino Lakes city","2700302395725"
"2700337376","Anoka","Linwood",5364,"township",1949,2.7394,"Linwood township","2700300664793"
"2700347536","Anoka","Nowthen",4426,"city",1480,2.9628,"Nowthen city","2700302437910"
"2700347690","Anoka","Oak Grove",8313,"city",2809,2.9537,"Oak Grove city","2700302395282"
"2700353026","Anoka","Ramsey",25362,"city",8690,2.9132,"Ramsey city","2700302396311"
"2700356950","Anoka","St. Francis",7327,"city",2603,2.8075,"St. Francis city (part)","2700302396487"
"2700361996","Anoka","Spring Lake Park",6326,"city",2620,2.4038,"Spring Lake Park city (part)","2700302395934"
"2700502674","Becker","Atlanta",123,"township",42,2.92857142857143,"Atlanta township","2700500663473"
"2700502728","Becker","Audubon",531,"city",198,2.68181818181818,"Audubon city","2700502394027"
"2700502746","Becker","Audubon",578,"township",229,2.52401746724891,"Audubon township","2700500663476"
"2700508686","Becker","Burlington",1569,"township",578,2.71453287197232,"Burlington township","2700500663706"
"2700509280","Becker","Callaway",232,"city",78,2.97435897435897,"Callaway city","2700502393497"
"2700509298","Becker","Callaway",282,"township",101,2.79207920792079,"Callaway township","2700500663727"
"2700510126","Becker","Carsonville",221,"township",90,2.45555555555556,"Carsonville township","2700500663758"
"2700513294","Becker","Cormorant",1074,"township",493,2.17849898580122,"Cormorant township","2700500663873"
"2700514230","Becker","Cuba",294,"township",108,2.72222222222222,"Cuba township","2700500663904"
"2700515814","Becker","Detroit",1908,"township",782,2.43478260869565,"Detroit township","2700500663972"
"2700515832","Becker","Detroit Lakes",9290,"city",4230,2.11300236406619,"Detroit Lakes city","2700502394527"
"2700517455","Becker","Eagle View",124,"township",52,2.38461538461538,"Eagle View township","2700500664021"
"2700519646","Becker","Erie",1679,"township",667,2.51724137931034,"Erie township","2700500664107"
"2700520006","Becker","Evergreen",356,"township",123,2.89430894308943,"Evergreen township","2700500664119"
"2700521671","Becker","Forest",84,"township",39,2.15384615384615,"Forest township","2700500664190"
"2700522472","Becker","Frazee",1395,"city",564,2.36879432624113,"Frazee city","2700502394813"
"2700525820","Becker","Green Valley",383,"township",137,2.7956204379562,"Green Valley township","2700500664347"
"2700526684","Becker","Hamden",200,"township",79,2.53164556962025,"Hamden township","2700500664378"
"2700528250","Becker","Height of Land",680,"township",286,2.37762237762238,"Height of Land township","2700500664440"
"2700529816","Becker","Holmesville",520,"township",217,2.3963133640553,"Holmesville township","2700500664504"
"2700534298","Becker","Lake Eunice",1603,"township",682,2.33870967741936,"Lake Eunice township","2700500664672"
"2700534784","Becker","Lake Park",798,"city",325,2.45538461538462,"Lake Park city","2700502395597"
"2700534802","Becker","Lake Park",490,"township",174,2.57471264367816,"Lake Park township","2700500664694"
"2700535144","Becker","Lake View",1702,"township",703,2.41109530583215,"Lake View township","2700500664708"
"2700540130","Becker","Maple Grove",454,"township",176,2.57954545454545,"Maple Grove township","2700500664899"
"2700548130","Becker","Ogema",187,"city",74,2.52702702702703,"Ogema city","2700502395308"
"2700548778","Becker","Osage",879,"township",363,2.42148760330579,"Osage township","2700500665223"
"2700551244","Becker","Pine Point",407,"township",126,3.23015873015873,"Pine Point township","2700500665309"
"2700554142","Becker","Riceville",78,"township",29,2.6551724137931,"Riceville township","2700500665410"
"2700554376","Becker","Richwood",672,"township",245,2.7265306122449,"Richwood township","2700500665419"
"2700556050","Becker","Round Lake",188,"township",72,2.61111111111111,"Round Lake township","2700500665478"
"2700556248","Becker","Runeberg",521,"township",175,2.97714285714286,"Runeberg township","2700500665485"
"2700558756","Becker","Savannah",175,"township",73,2.3972602739726,"Savannah township","2700500665562"
"2700559512","Becker","Shell Lake",298,"township",136,2.19117647058824,"Shell Lake township","2700500665588"
"2700560430","Becker","Silver Leaf",560,"township",197,2.84263959390863,"Silver Leaf township","2700500665617"
"2700561762","Becker","Spring Creek",120,"township",39,3.07692307692308,"Spring Creek township","2700500665667"
"2700562212","Becker","Spruce Grove",421,"township",138,3.05072463768116,"Spruce Grove township","2700500665685"
"2700563256","Becker","Sugar Bush",506,"township",199,2.5427135678392,"Sugar Bush township","2700500665732"
"2700565002","Becker","Toad Lake",527,"township",200,2.635,"Toad Lake township","2700500665792"
"2700566010","Becker","Two Inlets",219,"township",98,2.23469387755102,"Two Inlets township","2700500665828"
"2700567954","Becker","Walworth",92,"township",37,2.48648648648649,"Walworth township","2700500665908"
"2700570024","Becker","White Earth",827,"township",321,2.57632398753894,"White Earth township","2700500665985"
"2700571338","Becker","Wolf Lake",60,"city",22,2.72727272727273,"Wolf Lake city","2700502397358"
"2700571356","Becker","Wolf Lake",260,"township",89,2.92134831460674,"Wolf Lake township","2700500666035"
"2700700586","Beltrami","Alaska",225,"township",95,2.36842105263158,"Alaska township","2700700663395"
"2700703952","Beltrami","Battle",44,"township",19,2.31578947368421,"Battle township","2700700663521"
"2700705068","Beltrami","Bemidji",14969,"city",6026,2.18702290076336,"Bemidji city","2700702394130"
"2700705086","Beltrami","Bemidji",3136,"township",1148,2.65592334494774,"Bemidji township","2700700663566"
"2700705284","Beltrami","Benville",90,"township",36,2.5,"Benville township","2700700663572"
"2700705914","Beltrami","Birch",122,"township",46,2.65217391304348,"Birch township","2700700663593"
"2700706256","Beltrami","Blackduck",790,"city",339,2.22418879056047,"Blackduck city","2700702394181"
"2700709082","Beltrami","Buzzle",304,"township",127,2.39370078740158,"Buzzle township","2700700663718"
"2700713258","Beltrami","Cormant",161,"township",70,2.3,"Cormant township","2700700663872"
"2700717234","Beltrami","Durand",228,"township",91,2.50549450549451,"Durand township","2700700664013"
"2700717954","Beltrami","Eckles",1632,"township",631,2.58161648177496,"Eckles township","2700700664038"
"2700722886","Beltrami","Frohn",1465,"township",569,2.56590509666081,"Frohn township","2700700664235"
"2700722976","Beltrami","Funkley",10,"city",6,1.66666666666667,"Funkley city","2700702394836"
"2700725352","Beltrami","Grant Valley",2082,"township",781,2.65428937259923,"Grant Valley township","2700700664328"
"2700726468","Beltrami","Hagali",382,"township",151,2.52980132450331,"Hagali township","2700700664368"
"2700726900","Beltrami","Hamre",11,"township",7,1.57142857142857,"Hamre township","2700700664387"
"2700729348","Beltrami","Hines",678,"township",283,2.39575971731449,"Hines township","2700700664485"
"2700730194","Beltrami","Hornet",227,"township",96,2.36458333333333,"Hornet township","2700700664519"
