lastname,firstname,fullname,chamber,party,hometown,district,term.numeral,term.ordinal,margin2016
Ruud,Carrie,Sen. Carrie Ruud,Senate,R,Breezy Point,10,3,3rd,0.2875
Lourey,Tony,Sen. Tony Lourey,Senate,DFL,Kerrick,11,4,4th,0.0906
Westrom,Torrey,Sen. Torrey Westrom,Senate,DFL,Elbow Lake,12,2,2nd,0.3527
Fischbach,Michelle L,Sen. Michelle L Fischbach,Senate,R,Paynesville,13,8,8th,0.373
Relph,Jerry,Sen. Jerry Relph,Senate,R,St. Cloud,14,1,1st,0.0038
Mathews,Andrew,Sen. Andrew Mathews,Senate,R,Milaca,15,1,1st,0.4162
Dahms,Gary H,Sen. Gary H Dahms,Senate,R,Redwood Falls,16,3,3rd,0.3464
Lang,Andrew,Sen. Andrew Lang,Senate,R,Olivia,17,1,1st,0.1457
Newman,Scott J,Sen. Scott J Newman,Senate,R,Hutchinson,18,3,3rd,0.3337
Frentz,Nick,Sen. Nick Frentz,Senate,DFL,North Mankato,19,1,1st,0.1918
Draheim,Rich,Sen. Rich Draheim,Senate,R,Madison Lake,20,1,1st,0.0395
Goggin,Mike,Sen. Mike Goggin,Senate,R,Red Wing,21,1,1st,0.0857
Weber,Bill,Sen. Bill Weber,Senate,R,Luverne,22,2,2nd,0.4048
Rosen,Julie A,Sen. Julie A Rosen,Senate,R,Vernon Center,23,5,5th,0.4172
Jasinski,John,Sen. John Jasinski,Senate,R,Fairbault,24,1,1st,0.1717
Senjem,David H,Sen. David H Senjem,Senate,R,Rochester,25,5,5th,0.2659
Nelson,Carla J,Sen. Carla J Nelson,Senate,R,Rochester,26,3,3rd,0.1202
Sparks,Dan,Sen. Dan Sparks,Senate,DFL,Austin,27,5,5th,0.0959
Miller,Jeremy R,Sen. Jeremy R Miller,Senate,R,Winona,28,3,3rd,0.2605
Anderson,Bruce D.,Sen. Bruce D. Anderson,Senate,R,Buffalo,29,2,2nd,0.3211
Kiffmeyer,Mary,Sen. Mary Kiffmeyer,Senate,R,Big Lake,30,2,2nd,0.4353
Benson,Michelle R.,Sen. Michelle R. Benson,Senate,R,Ham Lake,31,3,3rd,0.3606
Koran,Mark,Sen. Mark Koran,Senate,R,North Branch,32,1,1st,0.132
Osmek,David J,Sen. David J Osmek,Senate,R,Mound,33,2,2nd,0.2536
Limmer,Warren,Sen. Warren Limmer,Senate,R,Maple Grove,34,8,8th,0.2052
Abeler,Jim,Sen. Jim Abeler,Senate,R,Anoka,35,2,2nd,0.3509
Hoffman,John A,Sen. John A Hoffman,Senate,DFL,Champlin,36,2,2nd,0.0223
Newton,Jerry,Sen. Jerry Newton,Senate,DFL,Coon Rapids,37,1,1st,0.03
Chamberlain,Roger C,Sen. Roger C Chamberlain,Senate,R,Lino Lakes,38,3,3rd,0.1733
Housley,Karin,Sen. Karin Housley,Senate,R,St. Marys Point,39,2,2nd,0.227
Eaton,Chris A,Sen. Chris A Eaton,Senate,DFL,Brooklyn Center,40,3,3rd,0.3607
Laine,Carolyn,Sen. Carolyn Laine,Senate,DFL,Columbia Heights,41,1,1st,0.2227
Isaacson,Jason,Sen. Jason Isaacson,Senate,DFL,Shoreview,42,1,1st,0.0849
Wiger,Charles W,Sen. Charles W Wiger,Senate,DFL,Maplewood,43,7,7th,0.2152
Anderson,Paul,Sen. Paul Anderson,Senate,R,Plymouth,44,1,1st,0.004
Rest,Ann H.,Sen. Ann H. Rest,Senate,DFL,New Hope,45,6,6th,0.2759
Latz,Ron,Sen. Ron Latz,Senate,DFL,St. Louis Park,46,4,4th,0.9658
Jensen,Scott,Sen. Scott Jensen,Senate,R,Chaska,47,1,1st,0.347
Cwodzinski,Steve,Sen. Steve Cwodzinski,Senate,DFL,Eden Prarie,48,1,1st,0.0231
Franzen,Melisa,Sen. Melisa Franzen,Senate,DFL,Edina,49,2,2nd,0.0908
Wiklund,Melissa H,Sen. Melissa H Wiklund,Senate,DFL,Bloomington,50,2,2nd,0.1939
Carlson,Jim,Sen. Jim Carlson,Senate,DFL,Eagan,51,3,3rd,0.0818
Klein,Matt,Sen. Matt Klein,Senate,DFL,Minneapolis,52,1,1st,0.1535
Kent,Susan,Sen. Susan Kent,Senate,DFL,Woodbury,53,2,2nd,0.0087
Schoen,Dan,Sen. Dan Schoen,Senate,DFL,Cottage Grove,54,1,1st,0.0643
Pratt,Eric R,Sen. Eric R Pratt,Senate,R,Prior Lake,55,2,2nd,0.3729
Hall,Dan D,Sen. Dan D Hall,Senate,R,Burnsville,56,3,3rd,0.1067
Clausen,Greg D.,Sen. Greg D. Clausen,Senate,DFL,Apple Valley,57,2,2nd,0.0634
