allwords,allcount,allrank
will,1307,1
minnesota,1282,2
state,1087,3
people,540,4
can,472,5
must,445,6
government,433,7
need,417,8
one,387,9
new,385,10
education,376,11
tax,372,12
years,361,13
also,357,14
jobs,343,15
year,322,16
work,319,17
make,297,18
children,288,19
now,284,20
budget,274,21
school,262,22
states,258,23
system,254,24
want,254,24
future,253,26
minnesotans,251,27
many,246,28
legislature,242,29
time,242,29
first,235,31
better,229,32
million,228,33
help,220,34
every,210,35
health,208,36
today,205,37
good,204,38
percent,201,39
job,199,40
best,197,41
minnesotas,197,41
last,195,43
economic,194,44
public,191,45
just,186,46
care,185,47
way,182,48
students,179,49
program,178,50
session,174,51
taxes,172,52
business,170,53
two,169,54
know,164,55
world,164,55
schools,163,57
economy,159,58
high,155,59
well,154,60
quality,153,61
great,152,62
next,151,63
reform,149,64
support,149,64
spending,148,66
together,147,67
local,146,68
much,145,69
energy,139,70
programs,139,70
families,138,72
important,138,72
get,136,74
even,135,75
like,132,76
let,131,77
life,131,77
citizens,129,79
nation,126,80
take,126,80
funding,124,82
governor,123,83
provide,123,83
legislative,122,85
made,121,86
services,121,86
national,120,88
growth,117,89
back,115,90
needs,115,90
continue,112,92
give,112,92
working,112,92
resources,111,95
past,108,96
ago,107,97
community,105,98
money,105,98
plan,105,98
create,103,101
dollars,103,101
federal,102,103
another,100,104
pay,100,104
three,100,104
major,99,107
costs,97,108
income,96,109
teachers,96,109
service,95,111
workers,95,111
parents,94,113
say,94,113
billion,93,115
higher,93,115
members,93,115
opportunity,93,115
businesses,92,119
improve,92,119
come,91,121
environment,91,121
believe,90,123
change,90,123
increase,90,123
propose,89,126
use,89,126
development,88,128
right,88,128
means,87,130
department,86,131
thank,86,131
young,86,131
rate,85,134
family,84,135
hard,84,135
property,84,135
bill,83,138
day,83,138
lets,83,138
dont,82,141
lives,82,141
ask,80,143
less,80,143
times,80,143
four,79,146
put,79,146
said,79,146
success,79,146
become,78,150
country,78,150
look,78,150
private,78,150
without,77,154
keep,76,155
place,76,155
bring,75,157
however,75,157
may,75,157
things,75,157
going,74,161
making,74,161
proposal,74,161
research,74,161
university,74,161
long,73,166
number,73,166
problems,73,166
already,72,169
find,72,169
cost,71,171
cut,71,171
five,71,171
fund,70,174
see,70,174
still,70,174
strong,70,174
technology,70,174
weve,69,179
commitment,68,180
efforts,68,180
real,68,180
administration,67,183
part,67,183
problem,67,183
access,66,186
thats,66,186
goal,65,188
home,65,188
serve,64,190
top,64,190
challenge,63,192
current,63,192
done,63,192
financial,63,192
hope,63,192
live,63,192
greater,62,198
level,62,198
special,62,198
big,61,201
focus,61,201
president,61,201
communities,60,204
invest,60,204
leadership,60,204
since,60,204
college,59,208
history,59,208
meet,59,208
second,59,208
week,59,208
crisis,58,213
competitive,57,214
crime,57,214
investments,57,214
leaders,57,214
require,57,214
start,57,214
third,57,214
area,56,221
child,56,221
progress,56,221
spirit,56,221
weeks,56,221
face,55,226
act,54,227
begin,54,227
end,54,227
learning,54,227
office,54,227
opportunities,54,227
process,54,227
responsibility,54,227
ways,54,227
creation,53,236
enough,53,236
governors,53,236
highest,53,236
law,53,236
natural,53,236
safety,53,236
additional,52,243
increased,52,243
possible,52,243
water,52,243
within,52,243
areas,51,248
changes,51,248
early,51,248
effort,51,248
ideas,51,248
improving,51,248
others,51,248
results,51,248
tell,51,248
biennium,50,257
companies,50,257
credit,50,257
governments,50,257
medical,50,257
pass,50,257
rates,50,257
sense,50,257
share,50,257
taxpayers,50,257
transportation,50,257
among,49,268
ever,49,268
example,49,268
per,49,268
throughout,49,268
center,48,273
cities,48,273
districts,48,273
industry,48,273
lead,48,273
legislation,48,273
months,48,273
never,48,273
open,48,273
protect,48,273
reduce,48,273
small,48,273
upon,48,273
always,47,286
around,47,286
average,47,286
key,47,286
move,47,286
society,47,286
training,47,286
asked,46,293
available,46,293
challenges,46,293
develop,46,293
dollar,46,293
expand,46,293
fact,46,293
fiscal,46,293
kids,46,293
necessary,46,293
proposed,46,293
reforms,46,293
report,46,293
rest,46,293
sector,46,293
social,46,293
address,45,309
beyond,45,309
building,45,309
deficit,45,309
environmental,45,309
legislators,45,309
message,45,309
partnership,45,309
paul,45,309
proposing,45,309
sales,45,309
yet,45,309
cant,44,321
city,44,321
clear,44,321
control,44,321
employees,44,321
general,44,321
political,44,321
spend,44,321
sure,44,321
think,44,321
welfare,44,321
across,43,332
america,43,332
bonding,43,332
built,43,332
constitutional,43,332
created,43,332
growing,43,332
increases,43,332
leader,43,332
performance,43,332
personal,43,332
rather,43,332
tonight,43,332
women,43,332
ability,42,346
ahead,42,346
build,42,346
call,42,346
days,42,346
decisions,42,346
grow,42,346
institutions,42,346
insurance,42,346
investment,42,346
issues,42,346
teacher,42,346
thing,42,346
action,41,359
basic,41,359
forward,41,359
house,41,359
human,41,359
issue,41,359
needed,41,359
revenues,41,359
six,41,359
something,41,359
successful,41,359
urge,41,359
worked,41,359
century,40,372
deal,40,372
educational,40,372
free,40,372
given,40,372
join,40,372
military,40,372
priority,40,372
proposals,40,372
climate,39,381
commission,39,381
compensation,39,381
information,39,381
order,39,381
role,39,381
standards,39,381
student,39,381
succeed,39,381
theyre,39,381
achieve,38,391
almost,38,391
certain,38,391
choice,38,391
laws,38,391
minneapolis,38,391
priorities,38,391
raise,38,391
recommend,38,391
safe,38,391
unemployment,38,391
value,38,391
approach,37,403
called,37,403
childrens,37,403
colleges,37,403
nearly,37,403
proud,37,403
revenue,37,403
save,37,403
set,37,403
single,37,403
toward,37,403
everyone,36,414
farm,36,414
fellow,36,414
finance,36,414
global,36,414
largest,36,414
longer,36,414
partnerships,36,414
power,36,414
recession,36,414
systems,36,414
ten,36,414
whether,36,414
addition,35,427
aid,35,427
commissioner,35,427
company,35,427
comprehensive,35,427
difficult,35,427
executive,35,427
fair,35,427
force,35,427
including,35,427
learn,35,427
management,35,427
metropolitan,35,427
receive,35,427
several,35,427
solve,35,427
step,35,427
thousands,35,427
war,35,427
agriculture,34,446
different,34,446
especially,34,446
farmers,34,446
finally,34,446
lower,34,446
passed,34,446
paying,34,446
point,34,446
policy,34,446
projects,34,446
responsible,34,446
result,34,446
able,33,459
assistance,33,459
behind,33,459
encourage,33,459
expect,33,459
homes,33,459
justice,33,459
offer,33,459
old,33,459
please,33,459
price,33,459
recognize,33,459
rochester,33,459
served,33,459
show,33,459
significant,33,459
speaker,33,459
steps,33,459
allow,32,477
asking,32,477
benefits,32,477
elected,32,477
employers,32,477
fall,32,477
full,32,477
labor,32,477
lost,32,477
love,32,477
mean,32,477
planning,32,477
providing,32,477
science,32,477
thanks,32,477
trust,32,477
united,32,477
words,32,477
agree,31,495
american,31,495
attention,31,495
common,31,495
conservation,31,495
election,31,495
employment,31,495
entire,31,495
industries,31,495
initiative,31,495
ive,31,495
math,31,495
men,31,495
month,31,495
officers,31,495
run,31,495
seen,31,495
soon,31,495
stand,31,495
taken,31,495
took,31,495
affordable,30,516
capitol,30,516
committed,30,516
consider,30,516
course,30,516
court,30,516
creating,30,516
form,30,516
goals,30,516
heard,30,516
kind,30,516
large,30,516
left,30,516
often,30,516
products,30,516
provided,30,516
reason,30,516
recent,30,516
short,30,516
told,30,516
vision,30,516
workforce,30,516
alone,29,538
beginning,29,538
bipartisan,29,538
coming,29,538
competition,29,538
deserve,29,538
drugs,29,538
funds,29,538
improved,29,538
land,29,538
later,29,538
least,29,538
longterm,29,538
officials,29,538
recommendations,29,538
recovery,29,538
remember,29,538
representative,29,538
seek,29,538
skills,29,538
universities,29,538
values,29,538
agencies,28,560
amount,28,560
answer,28,560
bills,28,560
construction,28,560
individual,28,560
international,28,560
nations,28,560
providers,28,560
question,28,560
senator,28,560
spent,28,560
tough,28,560
turn,28,560
violence,28,560
works,28,560
youth,28,560
accountable,27,577
benefit,27,577
clean,27,577
courage,27,577
cuts,27,577
decade,27,577
effective,27,577
excellence,27,577
hold,27,577
incentives,27,577
little,27,577
matter,27,577
met,27,577
prepare,27,577
projected,27,577
reserve,27,577
simply,27,577
strength,27,577
surplus,27,577
term,27,577
transit,27,577
understand,27,577
veterans,27,577
balance,26,600
childhood,26,600
close,26,600
drug,26,600
former,26,600
healthy,26,600
interest,26,600
lowest,26,600
nothing,26,600
position,26,600
ready,26,600
recently,26,600
reforming,26,600
relief,26,600
serious,26,600
simple,26,600
staff,26,600
stay,26,600
stop,26,600
truth,26,600
try,26,600
accountability,25,621
actions,25,621
amendment,25,621
campaign,25,621
changing,25,621
comes,25,621
decades,25,621
demand,25,621
doesnt,25,621
enforcement,25,621
essential,25,621
group,25,621
improvements,25,621
leave,25,621
levels,25,621
line,25,621
model,25,621
potential,25,621
roads,25,621
sacrifice,25,621
teaching,25,621
agency,24,642
capital,24,642
chief,24,642
choices,24,642
county,24,642
everything,24,642
experience,24,642
friends,24,642
giving,24,642
goes,24,642
got,24,642
grade,24,642
groups,24,642
individuals,24,642
options,24,642
outstanding,24,642
overall,24,642
present,24,642
productive,24,642
project,24,642
provides,24,642
rating,24,642
reach,24,642
really,24,642
record,24,642
reduction,24,642
south,24,642
story,24,642
strategy,24,642
talk,24,642
trade,24,642
tremendous,24,642
vote,24,642
yes,24,642
afford,23,676
agricultural,23,676
along,23,676
alternative,23,676
arts,23,676
away,23,676
compete,23,676
critical,23,676
dakota,23,676
far,23,676
half,23,676
highway,23,676
increasing,23,676
known,23,676
living,23,676
lot,23,676
maintain,23,676
market,23,676
might,23,676
package,23,676
rural,23,676
started,23,676
taking,23,676
tomorrow,23,676
total,23,676
used,23,676
began,22,702
bold,22,702
developed,22,702
district,22,702
expanded,22,702
expanding,22,702
feel,22,702
fuel,22,702
fully,22,702
generation,22,702
helping,22,702
impact,22,702
include,22,702
oil,22,702
park,22,702
police,22,702
prosperity,22,702
putting,22,702
reduced,22,702
reducing,22,702
required,22,702
room,22,702
savings,22,702
saw,22,702
senate,22,702
send,22,702
study,22,702
accomplished,21,729
age,21,729
anderson,21,729
based,21,729
chance,21,729
choose,21,729
corporation,21,729
council,21,729
debate,21,729
duty,21,729
expansion,21,729
facing,21,729
final,21,729
helped,21,729
immediate,21,729
initiatives,21,729
instead,21,729
interests,21,729
lack,21,729
limited,21,729
man,21,729
mayo,21,729
protection,21,729
purpose,21,729
renewable,21,729
road,21,729
statewide,21,729
street,21,729
task,21,729
test,21,729
true,21,729
using,21,729
went,21,729
add,20,762
announced,20,762
authority,20,762
came,20,762
consideration,20,762
continuing,20,762
deliver,20,762
designed,20,762
despite,20,762
direct,20,762
dream,20,762
easy,20,762
efficient,20,762
else,20,762
existing,20,762
facilities,20,762
foundation,20,762
god,20,762
gone,20,762
head,20,762
honor,20,762
low,20,762
makes,20,762
measure,20,762
moving,20,762
neighborhoods,20,762
particularly,20,762
perhaps,20,762
person,20,762
places,20,762
pleased,20,762
remain,20,762
requires,20,762
respect,20,762
return,20,762
size,20,762
therefore,20,762
tourism,20,762
absolutely,19,800
agenda,19,800
budgets,19,800
career,19,800
confidence,19,800
excellent,19,800
food,19,800
freedom,19,800
getting,19,800
improvement,19,800
inflation,19,800
innovation,19,800
kindergarten,19,800
lakes,19,800
led,19,800
looking,19,800
majority,19,800
measures,19,800
paid,19,800
poverty,19,800
preserve,19,800
prevention,19,800
raising,19,800
range,19,800
reality,19,800
recognized,19,800
table,19,800
treatment,19,800
waste,19,800
whole,19,800
achievement,18,830
adults,18,830
boards,18,830
classroom,18,830
clearly,18,830
complete,18,830
computers,18,830
either,18,830
equipment,18,830
fourth,18,830
generations,18,830
happen,18,830
highways,18,830
importance,18,830
includes,18,830
involved,18,830
learned,18,830
lose,18,830
