andersonword,andersoncount,andersonrank
state,102,1
minnesota,57,2
will,55,3
government,52,4
people,44,5
legislature,42,6
must,41,7
session,36,8
also,25,9
can,25,9
one,22,11
year,22,11
know,21,13
legislative,21,13
many,20,15
now,20,15
public,20,15
energy,19,18
way,18,19
million,17,20
system,17,20
federal,16,22
major,16,22
need,16,22
years,16,22
legislation,15,26
service,15,26
tax,15,26
give,14,29
support,14,29
time,14,29
attention,13,32
help,13,32
just,13,32
percent,13,32
provide,13,32
another,12,37
make,12,37
meet,12,37
metropolitan,12,37
needs,12,37
opportunity,12,37
take,12,37
action,11,44
available,11,44
believe,11,44
citizens,11,44
community,11,44
members,11,44
new,11,44
program,11,44
retirement,11,44
still,11,44
weeks,11,44
benefits,10,55
business,10,55
department,10,55
today,10,55
transit,10,55
work,10,55
ago,9,61
budget,9,61
deserve,9,61
improve,9,61
means,9,61
open,9,61
provided,9,61
right,9,61
school,9,61
thats,9,61
two,9,61
use,9,61
well,9,61
approximately,8,74
crisis,8,74
dont,8,74
economy,8,74
election,8,74
employees,8,74
funds,8,74
human,8,74
important,8,74
information,8,74
job,8,74
laws,8,74
let,8,74
long,8,74
months,8,74
office,8,74
possible,8,74
priority,8,74
recommend,8,74
act,7,93
basic,7,93
bill,7,93
commission,7,93
continue,7,93
even,7,93
every,7,93
executive,7,93
finance,7,93
first,7,93
future,7,93
hope,7,93
life,7,93
much,7,93
next,7,93
oil,7,93
openness,7,93
political,7,93
want,7,93
women,7,93
workers,7,93
age,6,114
already,6,114
ask,6,114
best,6,114
campaigns,6,114
cars,6,114
commitment,6,114
consideration,6,114
difficult,6,114
dollars,6,114
efforts,6,114
end,6,114
ever,6,114
farm,6,114
find,6,114
gasoline,6,114
housing,6,114
last,6,114
may,6,114
message,6,114
national,6,114
party,6,114
problem,6,114
provides,6,114
quality,6,114
real,6,114
since,6,114
strong,6,114
top,6,114
truth,6,114
wage,6,114
alone,5,145
amendment,5,145
become,5,145
better,5,145
biennium,5,145
bring,5,145
campaign,5,145
change,5,145
compensation,5,145
develop,5,145
effort,5,145
elected,5,145
essential,5,145
everyone,5,145
family,5,145
final,5,145
great,5,145
homes,5,145
including,5,145
kind,5,145
like,5,145
made,5,145
maximum,5,145
minimum,5,145
minnesotas,5,145
nation,5,145
necessary,5,145
number,5,145
passage,5,145
pay,5,145
plan,5,145
price,5,145
projections,5,145
providing,5,145
remaining,5,145
representative,5,145
revenue,5,145
said,5,145
several,5,145
small,5,145
special,5,145
states,5,145
step,5,145
tell,5,145
things,5,145
urge,5,145
waste,5,145
additional,4,192
agencies,4,192
among,4,192
authority,4,192
benefit,4,192
built,4,192
come,4,192
committee,4,192
communities,4,192
conservation,4,192
contributions,4,192
council,4,192
day,4,192
deal,4,192
disclosure,4,192
districts,4,192
drive,4,192
everybody,4,192
extend,4,192
financial,4,192
gallon,4,192
given,4,192
handicapped,4,192
health,4,192
high,4,192
highway,4,192
income,4,192
institutions,4,192
issues,4,192
keep,4,192
known,4,192
law,4,192
leadership,4,192
level,4,192
list,4,192
lives,4,192
local,4,192
longer,4,192
majority,4,192
management,4,192
mandate,4,192
month,4,192
old,4,192
pass,4,192
per,4,192
planning,4,192
policy,4,192
present,4,192
president,4,192
private,4,192
process,4,192
programs,4,192
proposed,4,192
purpose,4,192
put,4,192
questions,4,192
really,4,192
recommendations,4,192
reform,4,192
require,4,192
retire,4,192
revenues,4,192
rights,4,192
salaries,4,192
senate,4,192
senior,4,192
serious,4,192
served,4,192
speaker,4,192
spending,4,192
steps,4,192
strength,4,192
strongly,4,192
times,4,192
transportation,4,192
try,4,192
turn,4,192
unemployment,4,192
upon,4,192
weekly,4,192
accomplished,3,272
achieve,3,272
address,3,272
adjustments,3,272
agency,3,272
ahead,3,272
almost,3,272
americans,3,272
answer,3,272
area,3,272
assistance,3,272
automobile,3,272
average,3,272
back,3,272
begin,3,272
beyond,3,272
bills,3,272
boards,3,272
bonding,3,272
budgeting,3,272
cant,3,272
chance,3,272
city,3,272
classrooms,3,272
clear,3,272
coleman,3,272
companies,3,272
concerns,3,272
constitutional,3,272
corporations,3,272
corrections,3,272
country,3,272
departments,3,272
designation,3,272
development,3,272
dollar,3,272
done,3,272
education,3,272
employee,3,272
empty,3,272
ends,3,272
environment,3,272
establish,3,272
establishing,3,272
faced,3,272
facilities,3,272
fair,3,272
finally,3,272
fiscal,3,272
frustrating,3,272
fully,3,272
gallons,3,272
get,3,272
governments,3,272
guaranteed,3,272
highways,3,272
history,3,272
home,3,272
house,3,272
houses,3,272
ill,3,272
immediate,3,272
impossible,3,272
increases,3,272
independent,3,272
insure,3,272
interest,3,272
items,3,272
judgment,3,272
land,3,272
large,3,272
leap,3,272
live,3,272
loans,3,272
mandatory,3,272
matter,3,272
men,3,272
minnesotans,3,272
nearly,3,272
needed,3,272
never,3,272
november,3,272
officers,3,272
officials,3,272
order,3,272
others,3,272
overdue,3,272
part,3,272
perhaps,3,272
permit,3,272
place,3,272
pleased,3,272
portion,3,272
press,3,272
problems,3,272
procedures,3,272
processes,3,272
projected,3,272
proposing,3,272
protect,3,272
question,3,272
reapportionment,3,272
reason,3,272
receive,3,272
recommended,3,272
redistrict,3,272
reduce,3,272
reflect,3,272
relief,3,272
rely,3,272
report,3,272
reporters,3,272
requires,3,272
resources,3,272
responsibility,3,272
responsible,3,272
responsive,3,272
responsiveness,3,272
rest,3,272
security,3,272
senator,3,272
serve,3,272
share,3,272
shortage,3,272
significance,3,272
significant,3,272
single,3,272
six,3,272
students,3,272
supports,3,272
taxpayer,3,272
thoughtful,3,272
three,3,272
together,3,272
tough,3,272
uncertain,3,272
unique,3,272
wasted,3,272
week,3,272
without,3,272
worked,3,272
worker,3,272
working,3,272
able,2,415
accept,2,415
access,2,415
accomplish,2,415
accountable,2,415
across,2,415
acted,2,415
activities,2,415
addition,2,415
administration,2,415
adopted,2,415
afford,2,415
agenda,2,415
alec,2,415
along,2,415
american,2,415
amount,2,415
anew,2,415
anticipate,2,415
antidiscrimination,2,415
appropriate,2,415
appropriation,2,415
appropriations,2,415
around,2,415
article,2,415
asked,2,415
assure,2,415
astate,2,415
attempt,2,415
automobiles,2,415
availability,2,415
aware,2,415
balanced,2,415
based,2,415
basis,2,415
beginning,2,415
begun,2,415
bicentennial,2,415
bipartisan,2,415
blindfolds,2,415
bonus,2,415
branches,2,415
brief,2,415
bus,2,415
buses,2,415
businessmen,2,415
called,2,415
campuses,2,415
cancer,2,415
candidates,2,415
careful,2,415
carefully,2,415
central,2,415
certain,2,415
changes,2,415
children,2,415
choose,2,415
clearly,2,415
closed,2,415
college,2,415
comes,2,415
coming,2,415
committees,2,415
compete,2,415
complex,2,415
concern,2,415
condition,2,415
confidential,2,415
conglomerates,2,415
congressional,2,415
congressman,2,415
consider,2,415
constitute,2,415
contain,2,415
continuing,2,415
contribute,2,415
cooperate,2,415
court,2,415
coverage,2,415
critical,2,415
current,2,415
custody,2,415
dare,2,415
days,2,415
deadly,2,415
decisions,2,415
deliberate,2,415
deliberations,2,415
demand,2,415
democrats,2,415
deny,2,415
developing,2,415
devote,2,415
devoted,2,415
devotion,2,415
disappear,2,415
disaster,2,415
doors,2,415
doubt,2,415
easy,2,415
economic,2,415
effective,2,415
either,2,415
else,2,415
environmental,2,415
equal,2,415
equally,2,415
example,2,415
excess,2,415
excuse,2,415
exist,2,415
expensive,2,415
explore,2,415
extended,2,415
fact,2,415
facts,2,415
failed,2,415
fall,2,415
farmers,2,415
farming,2,415
farms,2,415
fellow,2,415
financing,2,415
five,2,415
force,2,415
forced,2,415
free,2,415
freedom,2,415
fundamental,2,415
general,2,415
goal,2,415
goes,2,415
governmental,2,415
governor,2,415
granted,2,415
grateful,2,415
half,2,415
happen,2,415
hard,2,415
heads,2,415
heard,2,415
heating,2,415
hold,2,415
honorable,2,415
hospitals,2,415
hour,2,415
hours,2,415
impasse,2,415
improvement,2,415
improving,2,415
include,2,415
includes,2,415
increase,2,415
individuals,2,415
inefficiency,2,415
infecting,2,415
interim,2,415
irv,2,415
issue,2,415
january,2,415
justice,2,415
knows,2,415
labor,2,415
largest,2,415
later,2,415
leader,2,415
league,2,415
leave,2,415
legitimate,2,415
less,2,415
limits,2,415
living,2,415
losing,2,415
low,2,415
maintenance,2,415
mass,2,415
matters,2,415
mean,2,415
measure,2,415
meetings,2,415
member,2,415
method,2,415
model,2,415
moment,2,415
nations,2,415
neighborhoods,2,415
nofault,2,415
often,2,415
olson,2,415
opening,2,415
operations,2,415
outreach,2,415
ownership,2,415
page,2,415
partisan,2,415
past,2,415
paying,2,415
performance,2,415
period,2,415
permits,2,415
personnel,2,415
point,2,415
politics,2,415
poor,2,415
population,2,415
possibility,2,415
precisely,2,415
pressure,2,415
previous,2,415
priorities,2,415
productive,2,415
profits,2,415
projects,2,415
property,2,415
protection,2,415
qualified,2,415
quickly,2,415
realistic,2,415
reasonable,2,415
receiving,2,415
recent,2,415
recognize,2,415
recommending,2,415
reduction,2,415
reforms,2,415
register,2,415
regulation,2,415
relatively,2,415
reported,2,415
reports,2,415
representatives,2,415
republicans,2,415
requests,2,415
required,2,415
requirements,2,415
respond,2,415
response,2,415
result,2,415
review,2,415
run,2,415
rural,2,415
sabo,2,415
safe,2,415
seats,2,415
seek,2,415
seems,2,415
semistate,2,415
senators,2,415
services,2,415
shortrange,2,415
sides,2,415
size,2,415
society,2,415
sold,2,415
sources,2,415
spaces,2,415
speed,2,415
spirit,2,415
staff,2,415
stake,2,415
standards,2,415
stop,2,415
story,2,415
strengthening,2,415
supplement,2,415
supplies,2,415
supreme,2,415
survey,2,415
systems,2,415
talent,2,415
teams,2,415
technician,2,415
tempting,2,415
therefore,2,415
third,2,415
thousands,2,415
threat,2,415
throughout,2,415
total,2,415
toward,2,415
trained,2,415
treatment,2,415
truths,2,415
unit,2,415
unless,2,415
unprecedented,2,415
vehicles,2,415
veterans,2,415
vietnam,2,415
vital,2,415
vote,2,415
voters,2,415
voting,2,415
wanted,2,415
war,2,415
wasteful,2,415
ways,2,415
whole,2,415
willing,2,415
win,2,415
winter,2,415
within,2,415
works,2,415
worlds,2,415
wrong,2,415
yet,2,415
young,2,415
abandon,1,722
abandoned,1,722
abetter,1,722
abilities,1,722
ability,1,722
absolutely,1,722
accordingly,1,722
accountability,1,722
accusing,1,722
achieved,1,722
activity,1,722
ada,1,722
add,1,722
addresses,1,722
adequacy,1,722
adequate,1,722
adjust,1,722
adlai,1,722
administrations,1,722
administrative,1,722
adopt,1,722
advantages,1,722
advisory,1,722
affair,1,722
affect,1,722
affected,1,722
affirmative,1,722
afterall,1,722
aftermath,1,722
afterthought,1,722
aged,1,722
agendas,1,722
agree,1,722
agricultural,1,722
agriculture,1,722
alarmed,1,722
alcohol,1,722
alcoholic,1,722
alienates,1,722
alignment,1,722
allegiance,1,722
allowable,1,722
alternative,1,722
although,1,722
amended,1,722
america,1,722
ancient,1,722
anderson,1,722
andersons,1,722
angel,1,722
annals,1,722
answers,1,722
anthony,1,722
anticipated,1,722
anticipating,1,722
anybody,1,722
anyone,1,722
appalling,1,722
apparent,1,722
appear,1,722
appears,1,722
appointive,1,722
appreciate,1,722
approach,1,722
approval,1,722
approve,1,722
approved,1,722
arbitration,1,722
architects,1,722
argue,1,722
argyle,1,722
arrangement,1,722
arrogance,1,722
arts,1,722
aside,1,722
assembled,1,722
assign,1,722
assigned,1,722
assumed,1,722
attempted,1,722
attract,1,722
attracting,1,722
audit,1,722
auditing,1,722
authored,1,722
automatically,1,722
awaiting,1,722
awaits,1,722
balance,1,722
barely,1,722
bargaining,1,722
battle,1,722
beat,1,722
became,1,722
becomes,1,722
becoming,1,722
beds,1,722
began,1,722
behind,1,722
berg,1,722
beverages,1,722
bicultural,1,722
bicycles,1,722
bilingual,1,722
binding,1,722
blatant,1,722
blind,1,722
blinded,1,722
board,1,722
body,1,722
bonds,1,722
booth,1,722
borden,1,722
bother,1,722
branch,1,722
bravely,1,722
bridges,1,722
briefly,1,722
bringing,1,722
broad,1,722
broken,1,722
buildings,1,722
bureaucracy,1,722
businesses,1,722
buttons,1,722
butz,1,722
buy,1,722
california,1,722
call,1,722
campaigned,1,722
campus,1,722
candidate,1,722
candor,1,722
capabilities,1,722
capability,1,722
capable,1,722
capacity,1,722
capitol,1,722
carried,1,722
carry,1,722
carrying,1,722
cast,1,722
catch,1,722
caucus,1,722
caucuses,1,722
census,1,722
centers,1,722
centralizing,1,722
certainly,1,722
chairman,1,722
chamberfrom,1,722
chambers,1,722
changed,1,722
chap,1,722
cheated,1,722
check,1,722
checkoff,1,722
chemical,1,722
choice,1,722
chooses,1,722
christopher,1,722
cities,1,722
