carlsonwords,carlsoncount,carlsonrank
will,332,1
minnesota,273,2
state,199,3
children,180,4
can,138,5
people,129,6
want,119,7
must,117,8
new,112,9
jobs,103,10
work,99,11
one,95,12
now,92,13
education,87,14
years,86,15
government,83,16
make,80,17
percent,72,18
first,69,19
every,68,20
million,67,21
need,67,21
year,67,21
also,66,24
families,66,24
system,66,24
minnesotans,61,27
community,60,28
school,60,28
care,56,30
health,53,31
reform,53,31
together,52,33
help,51,34
many,51,34
tax,51,34
today,51,34
schools,48,38
job,47,39
legislature,47,39
time,47,39
young,47,39
states,46,43
parents,45,44
future,44,45
students,44,45
workers,44,45
crime,43,48
life,43,48
programs,42,50
budget,41,51
minnesotas,41,51
spending,41,51
child,40,54
let,40,54
know,39,56
last,39,56
good,38,58
high,38,58
business,37,60
say,37,60
much,36,62
quality,36,62
two,36,62
welfare,36,62
change,35,66
give,35,66
just,35,66
program,34,69
take,34,69
way,34,69
working,34,69
back,33,73
create,33,73
national,33,73
better,32,76
local,32,76
best,31,78
billion,31,78
costs,31,78
next,31,78
well,31,78
childrens,29,83
like,29,83
means,29,83
teachers,29,83
get,28,87
opportunity,28,87
past,27,89
public,27,89
support,27,89
taxes,27,89
three,27,89
department,26,94
economy,26,94
focus,26,94
communities,25,97
growth,25,97
university,25,97
world,25,97
governor,24,101
pay,24,101
plan,24,101
put,24,101
social,24,101
violence,24,101
come,23,107
commitment,23,107
dollars,23,107
economic,23,107
family,23,107
financial,23,107
increase,23,107
kids,23,107
legislative,23,107
nation,23,107
needs,23,107
session,23,107
success,23,107
thank,23,107
without,23,107
continue,22,122
hard,22,122
medical,22,122
provide,22,122
access,21,126
become,21,126
higher,21,126
level,21,126
sense,21,126
services,21,126
bring,20,132
compensation,20,132
employers,20,132
environment,20,132
home,20,132
less,20,132
lives,20,132
members,20,132
money,20,132
start,20,132
values,20,132
within,20,132
youth,20,132
begin,19,145
bill,19,145
certain,19,145
going,19,145
live,19,145
made,19,145
partnerships,19,145
paul,19,145
place,19,145
resources,19,145
skills,19,145
america,18,156
businesses,18,156
center,18,156
challenge,18,156
great,18,156
income,18,156
part,18,156
rate,18,156
results,18,156
right,18,156
society,18,156
technology,18,156
tell,18,156
administration,17,169
believe,17,169
cost,17,169
cut,17,169
day,17,169
even,17,169
fact,17,169
federal,17,169
learning,17,169
minneapolis,17,169
number,17,169
rates,17,169
succeed,17,169
training,17,169
ago,16,183
build,16,183
companies,16,183
funding,16,183
look,16,183
partnership,16,183
property,16,183
propose,16,183
recognize,16,183
since,16,183
single,16,183
strong,16,183
times,16,183
address,15,196
always,15,196
basic,15,196
changes,15,196
climate,15,196
competition,15,196
grow,15,196
leadership,15,196
problem,15,196
proposal,15,196
see,15,196
serve,15,196
service,15,196
standards,15,196
violent,15,196
built,14,211
clear,14,211
comprehensive,14,211
example,14,211
five,14,211
former,14,211
four,14,211
goal,14,211
institutions,14,211
keep,14,211
law,14,211
long,14,211
package,14,211
personal,14,211
police,14,211
president,14,211
taxpayers,14,211
things,14,211
think,14,211
tonight,14,211
week,14,211
across,13,232
already,13,232
called,13,232
choice,13,232
court,13,232
created,13,232
leader,13,232
learn,13,232
major,13,232
order,13,232
prevention,13,232
problems,13,232
recession,13,232
said,13,232
top,13,232
agencies,12,247
ahead,12,247
among,12,247
another,12,247
area,12,247
arts,12,247
competitive,12,247
crisis,12,247
deal,12,247
educational,12,247
entire,12,247
expand,12,247
face,12,247
free,12,247
governors,12,247
important,12,247
issues,12,247
making,12,247
management,12,247
may,12,247
mean,12,247
never,12,247
private,12,247
reforms,12,247
require,12,247
rest,12,247
safe,12,247
shortfall,12,247
simply,12,247
six,12,247
something,12,247
streets,12,247
achieve,11,279
allow,11,279
areas,11,279
asked,11,279
average,11,279
away,11,279
century,11,279
citizens,11,279
committed,11,279
control,11,279
creation,11,279
done,11,279
dream,11,279
early,11,279
ever,11,279
governments,11,279
growing,11,279
history,11,279
house,11,279
industry,11,279
issue,11,279
laws,11,279
legislators,11,279
longer,11,279
longterm,11,279
math,11,279
offer,11,279
opportunities,11,279
park,11,279
per,11,279
rather,11,279
real,11,279
record,11,279
reduce,11,279
report,11,279
responsibility,11,279
safety,11,279
save,11,279
second,11,279
served,11,279
share,11,279
term,11,279
third,11,279
thousands,11,279
told,11,279
toward,11,279
upon,11,279
vision,11,279
able,10,327
absolutely,10,327
act,10,327
affordable,10,327
ask,10,327
bond,10,327
building,10,327
challenges,10,327
city,10,327
computer,10,327
crimes,10,327
decisions,10,327
end,10,327
enforcement,10,327
enough,10,327
especially,10,327
head,10,327
hope,10,327
increased,10,327
juvenile,10,327
lose,10,327
