gopword,gopcount,goprank
will,715,1
minnesota,628,2
state,491,3
can,283,4
need,273,5
people,261,6
government,229,7
children,220,8
must,220,9
also,213,10
new,210,11
one,201,12
jobs,196,13
education,193,14
make,177,15
now,174,16
work,170,17
years,170,18
want,161,19
school,154,20
system,145,21
year,145,22
first,141,23
million,140,24
health,137,25
tax,135,26
future,132,27
minnesotans,132,28
percent,132,29
time,132,30
care,126,31
many,124,32
budget,123,33
minnesotas,123,34
every,122,35
good,120,36
help,120,37
families,113,38
today,113,39
schools,112,40
states,111,41
students,111,42
job,110,43
just,105,44
way,103,45
get,100,46
program,99,47
great,98,48
know,96,49
well,96,50
legislature,95,51
last,93,52
high,92,53
quality,90,54
better,89,55
life,88,56
programs,85,57
together,85,58
much,84,59
next,84,60
local,83,61
public,83,62
spending,83,63
taxes,82,64
reform,81,65
energy,80,66
take,80,67
two,80,68
funding,79,69
best,78,70
world,77,71
let,76,72
costs,75,73
community,74,74
economy,73,75
session,73,76
business,71,77
lets,71,78
parents,70,79
support,70,80
even,69,81
needs,69,82
teachers,69,83
like,68,84
change,67,85
give,66,86
national,66,87
pay,65,88
important,64,89
made,64,90
back,62,91
economic,62,92
young,62,93
come,60,94
create,60,95
increase,60,96
provide,59,97
continue,58,98
say,57,99
weve,57,100
nation,56,101
proposal,56,102
workers,56,103
opportunity,55,104
resources,55,105
three,55,106
working,55,107
crime,54,108
growth,54,109
past,54,110
going,53,111
plan,53,112
propose,53,113
improve,52,114
money,50,115
family,49,116
look,49,117
members,49,118
ago,48,119
federal,48,120
governor,48,121
higher,48,122
part,48,123
services,48,124
without,48,125
citizens,47,126
focus,47,127
means,47,128
serve,47,129
child,46,130
dollars,46,131
dont,46,132
may,46,133
thank,46,134
things,46,135
billion,45,136
day,45,137
department,45,138
place,45,139
rate,45,140
times,45,141
become,44,142
environment,44,143
less,44,144
problems,44,145
access,42,146
bill,42,147
commitment,42,148
cost,42,149
efforts,42,150
keep,42,151
kids,42,152
legislative,42,153
put,42,154
right,42,155
university,42,156
income,41,157
problem,41,158
safety,41,159
technology,41,160
current,40,161
service,40,162
use,40,163
within,40,164
area,39,165
communities,39,166
face,39,167
hard,39,168
medical,39,169
private,39,170
sense,39,171
start,39,172
thats,39,173
welfare,39,174
challenges,38,175
college,38,176
done,38,177
five,38,178
grow,38,179
history,38,180
home,38,181
level,38,182
live,38,183
number,38,184
said,38,185
big,37,186
bring,37,187
learning,37,188
military,37,189
another,36,190
businesses,36,191
challenge,36,192
crisis,36,193
four,36,194
lives,36,195
long,36,196
performance,36,197
success,36,198
america,35,199
country,35,200
financial,35,201
major,35,202
pass,35,203
require,35,204
results,35,205
strong,35,206
childrens,34,207
leadership,34,208
property,34,209
see,34,210
student,34,211
ways,34,212
ask,33,213
center,33,214
making,33,215
society,33,216
spirit,33,217
standards,33,218
training,33,219
changes,32,220
companies,32,221
fund,32,222
greater,32,223
hope,32,224
issue,32,225
social,32,226
across,31,227
begin,31,228
certain,31,229
example,31,230
institutions,31,231
law,31,232
lead,31,233
top,31,234
believe,30,235
control,30,236
enough,30,237
progress,30,238
proposing,30,239
real,30,240
already,29,241
always,29,242
call,29,243
cut,29,244
development,29,245
districts,29,246
growing,29,247
move,29,248
others,29,249
paul,29,250
per,29,251
responsibility,29,252
second,29,253
since,29,254
small,29,255
sure,29,256
tell,29,257
theyre,29,258
think,29,259
week,29,260
act,28,261
additional,28,262
beyond,28,263
build,28,264
built,28,265
cant,28,266
fact,28,267
find,28,268
free,28,269
governments,28,270
insurance,28,271
meet,28,272
never,28,273
special,28,274
administration,27,275
clear,27,276
governors,27,277
order,27,278
rates,27,279
save,27,280
sector,27,281
spend,27,282
choice,26,283
different,26,284
employers,26,285
forward,26,286
increased,26,287
issues,26,288
ive,26,289
leader,26,290
legislation,26,291
minneapolis,26,292
