levanderwords,levandercount,levanderrank
state,40,1
people,34,2
will,33,3
can,29,4
program,23,5
government,21,6
problems,21,6
time,19,8
education,17,9
minnesota,17,9
session,16,11
metropolitan,15,12
first,12,13
last,12,13
must,12,13
one,12,13
safety,12,13
years,12,13
council,11,19
year,11,19
million,10,21
now,10,21
problem,10,21
shall,10,21
institutions,9,25
many,9,25
message,9,25
new,9,25
waters,9,25
care,8,30
commission,8,30
every,8,30
federal,8,30
highway,8,30
increase,8,30
man,8,30
recommend,8,30
special,8,30
ability,7,39
environment,7,39
executive,7,39
facilities,7,39
five,7,39
future,7,39
major,7,39
much,7,39
opportunity,7,39
serve,7,39
solve,7,39
solving,7,39
therefore,7,39
young,7,39
also,6,53
appropriation,6,53
area,6,53
cities,6,53
citizens,6,53
department,6,53
development,6,53
economic,6,53
governors,6,53
human,6,53
job,6,53
jobs,6,53
legislation,6,53
minnesotans,6,53
minnesotas,6,53
national,6,53
need,6,53
number,6,53
past,6,53
present,6,53
programs,6,53
public,6,53
quality,6,53
resources,6,53
rights,6,53
services,6,53
states,6,53
support,6,53
two,6,53
ask,5,82
avoid,5,82
budget,5,82
built,5,82
colleges,5,82
community,5,82
construction,5,82
crime,5,82
crystal,5,82
good,5,82
issue,5,82
know,5,82
lakes,5,82
law,5,82
local,5,82
look,5,82
meet,5,82
mentally,5,82
order,5,82
planning,5,82
private,5,82
provide,5,82
require,5,82
summer,5,82
urge,5,82
use,5,82
water,5,82
youth,5,82
addition,4,110
ago,4,110
aid,4,110
alcohol,4,110
almost,4,110
another,4,110
areas,4,110
authority,4,110
best,4,110
biennium,4,110
boards,4,110
bonding,4,110
branch,4,110
challenge,4,110
concern,4,110
consumer,4,110
costs,4,110
determine,4,110
dollars,4,110
educational,4,110
enrollment,4,110
expand,4,110
expanded,4,110
forward,4,110
great,4,110
health,4,110
higher,4,110
history,4,110
increased,4,110
institution,4,110
junior,4,110
legislature,4,110
make,4,110
nation,4,110
natural,4,110
never,4,110
open,4,110
opportunities,4,110
plan,4,110
potential,4,110
reorganization,4,110
retarded,4,110
save,4,110
school,4,110
schools,4,110
seek,4,110
senior,4,110
set,4,110
students,4,110
