pawlentywords,pawlentycount,pawlentyrank
minnesota,291,1
will,207,2
need,190,3
state,156,4
also,120,5
can,84,6
education,79,7
government,79,7
health,79,7
school,79,7
one,76,11
make,74,12
new,74,12
jobs,69,14
people,68,15
budget,66,16
great,65,17
get,62,18
lets,62,18
students,62,18
future,61,21
good,58,22
care,57,23
help,57,23
just,57,23
minnesotans,57,23
minnesotas,57,23
time,57,23
years,57,23
today,56,30
now,55,31
system,55,31
way,55,31
funding,53,34
many,53,34
weve,53,34
better,52,37
schools,51,38
tax,51,38
well,50,40
first,48,41
year,48,41
work,47,43
even,46,44
high,46,44
job,46,44
world,46,44
know,44,48
economy,42,49
energy,42,49
quality,42,49
every,41,52
important,41,52
families,40,54
life,40,54
best,39,56
like,38,57
children,37,58
military,37,58
much,37,58
needs,37,58
next,37,58
dont,36,63
percent,36,63
states,36,63
teachers,36,63
improve,35,67
pay,35,67
take,35,67
taxes,35,67
thats,35,67
going,34,72
made,34,72
must,34,72
last,31,75
spending,31,75
two,31,75
big,30,78
costs,29,79
legislature,29,79
things,29,79
together,29,79
want,29,79
college,28,84
performance,28,84
theyre,28,84
business,27,87
challenges,27,87
country,27,87
pass,27,87
programs,27,87
proposal,27,87
public,27,87
reform,27,87
support,27,87
cant,26,96
current,26,96
spirit,26,96
continue,25,99
day,25,99
give,25,99
million,25,99
money,25,99
student,25,99
ago,24,105
back,24,105
change,24,105
create,24,105
growth,24,105
ive,24,105
progress,24,105
come,23,112
face,23,112
family,23,112
may,23,112
members,23,112
parents,23,112
place,23,112
provide,23,112
serve,23,112
citizens,22,121
economic,22,121
efforts,22,121
right,22,121
said,22,121
teacher,22,121
use,22,121
access,21,128
governor,21,128
grow,21,128
history,21,128
keep,21,128
nation,21,128
national,21,128
part,21,128
plan,21,128
program,21,128
service,21,128
times,21,128
crisis,20,140
higher,20,140
insurance,20,140
let,20,140
look,20,140
thank,20,140
war,20,140
districts,19,147
hope,19,147
kids,19,147
lead,19,147
renewable,19,147
resources,19,147
thing,19,147
become,18,154
bill,18,154
cost,18,154
deficit,18,154
focus,18,154
making,18,154
say,18,154
sure,18,154
top,18,154
across,17,163
ask,17,163
four,17,163
global,17,163
god,17,163
learning,17,163
proposing,17,163
results,17,163
small,17,163
standards,17,163
without,17,163
working,17,163
area,16,175
common,16,175
different,16,175
dollars,16,175
done,16,175
forward,16,175
hard,16,175
increase,16,175
live,16,175
long,16,175
medical,16,175
men,16,175
move,16,175
others,16,175
sacrifice,16,175
spend,16,175
table,16,175
three,16,175
training,16,175
urge,16,175
ways,16,175
another,15,196
approach,15,196
building,15,196
businesses,15,196
enough,15,196
growing,15,196
guard,15,196
join,15,196
providers,15,196
require,15,196
safety,15,196
accountability,14,207
act,14,207
asking,14,207
available,14,207
call,14,207
control,14,207
example,14,207
find,14,207
healthcare,14,207
highest,14,207
historic,14,207
improving,14,207
largest,14,207
leadership,14,207
love,14,207
near,14,207
opportunity,14,207
problem,14,207
raise,14,207
real,14,207
rochester,14,207
session,14,207
something,14,207
start,14,207
strong,14,207
veterans,14,207
week,14,207
women,14,207
almost,13,235
always,13,235
america,13,235
around,13,235
beyond,13,235
bless,13,235
companies,13,235
courage,13,235
environment,13,235
fund,13,235
got,13,235
greater,13,235
home,13,235
investment,13,235
issue,13,235
less,13,235
means,13,235
natural,13,235
past,13,235
paying,13,235
please,13,235
proposed,13,235
put,13,235
soon,13,235
technology,13,235
ten,13,235
theres,13,235
university,13,235
water,13,235
within,13,235
ability,12,265
additional,12,265
bring,12,265
challenge,12,265
credit,12,265
five,12,265
general,12,265
level,12,265
mark,12,265
math,12,265
number,12,265
online,12,265
point,12,265
priorities,12,265
propose,12,265
sector,12,265
sense,12,265
teaching,12,265
behind,11,283
bonding,11,283
clear,11,283
coming,11,283
commitment,11,283
course,11,283
deal,11,283
depends,11,283
dollar,11,283
effort,11,283
encourage,11,283
however,11,283
incentives,11,283
increases,11,283
initiative,11,283
iraq,11,283
key,11,283
lives,11,283
lost,11,283
lot,11,283
needed,11,283
open,11,283
per,11,283
price,11,283
private,11,283
prosperity,11,283
rate,11,283
rather,11,283
room,11,283
sergeant,11,283
soldiers,11,283
strategic,11,283
success,11,283
think,11,283
words,11,283
allow,10,318
answer,10,318
choice,10,318
competitive,10,318
consumers,10,318
creating,10,318
dramatically,10,318
grateful,10,318
heard,10,318
ideas,10,318
including,10,318
innovation,10,318
kitchen,10,318
large,10,318
leaders,10,318
local,10,318
main,10,318
nations,10,318
nearly,10,318
opportunities,10,318
possible,10,318
power,10,318
proud,10,318
rigorous,10,318
safe,10,318
saint,10,318
save,10,318
science,10,318
second,10,318
seen,10,318
started,10,318
step,10,318
story,10,318
tell,10,318
towards,10,318
transportation,10,318
works,10,318
already,9,355
amount,9,355
billion,9,355
center,9,355
city,9,355
classroom,9,355
company,9,355
compete,9,355
currently,9,355
department,9,355
ethanol,9,355
ever,9,355
force,9,355
jobz,9,355
land,9,355
later,9,355
leader,9,355
lighthouse,9,355
major,9,355
man,9,355
market,9,355
minneapolis,9,355
never,9,355
news,9,355
outdoors,9,355
president,9,355
protect,9,355
receive,9,355
reduce,9,355
see,9,355
special,9,355
steps,9,355
still,9,355
town,9,355
try,9,355
understand,9,355
unit,9,355
weeks,9,355
able,8,393
accountable,8,393
achieve,8,393
actually,8,393
addition,8,393
address,8,393
beautiful,8,393
build,8,393
built,8,393
buy,8,393
conservation,8,393
days,8,393
duty,8,393
effective,8,393
everybody,8,393
fair,8,393
farmers,8,393
financial,8,393
fix,8,393
formula,8,393
freedom,8,393
full,8,393
gallery,8,393
generation,8,393
greatest,8,393
include,8,393
innovative,8,393
line,8,393
little,8,393
malmberg,8,393
mayo,8,393
measures,8,393
months,8,393
order,8,393
places,8,393
population,8,393
prepare,8,393
priority,8,393
process,8,393
property,8,393
ready,8,393
really,8,393
recently,8,393
research,8,393
role,8,393
saw,8,393
senator,8,393
services,8,393
set,8,393
shes,8,393
shouldnt,8,393
show,8,393
solve,8,393
strength,8,393
successful,8,393
thanking,8,393
wont,8,393
young,8,393
add,7,451
ahead,7,451
along,7,451
announced,7,451
average,7,451
away,7,451
begin,7,451
bold,7,451
called,7,451
carlson,7,451
changes,7,451
changing,7,451
circumstances,7,451
clean,7,451
climate,7,451
clinic,7,451
close,7,451
colleges,7,451
comp,7,451
county,7,451
couple,7,451
courses,7,451
cut,7,451
decades,7,451
demand,7,451
develop,7,451
district,7,451
employees,7,451
expanding,7,451
expect,7,451
faced,7,451
friends,7,451
front,7,451
goal,7,451
goes,7,451
grade,7,451
hardworking,7,451
hear,7,451
heres,7,451
honor,7,451
ill,7,451
investments,7,451
john,7,451
keeping,7,451
lake,7,451
law,7,451
learn,7,451
least,7,451
left,7,451
mean,7,451
moving,7,451
offer,7,451
office,7,451
often,7,451
paul,7,451
plans,7,451
purchase,7,451
purchasing,7,451
question,7,451
reforms,7,451
remember,7,451
required,7,451
roads,7,451
rural,7,451
sacrifices,7,451
serving,7,451
share,7,451
short,7,451
significant,7,451
south,7,451
staff,7,451
succeed,7,451
talk,7,451
taxpayers,7,451
thanks,7,451
true,7,451
trust,7,451
united,7,451
value,7,451
walk,7,451
whether,7,451
worlds,7,451
academic,6,533
action,6,533
administration,6,533
afford,6,533
affordable,6,533
agriculture,6,533
alternative,6,533
amazing,6,533
announcing,6,533
anymore,6,533
areas,6,533
asked,6,533
burden,6,533
capital,6,533
capitol,6,533
career,6,533
cars,6,533
challenged,6,533
chance,6,533
changed,6,533
character,6,533
charge,6,533
child,6,533
comes,6,533
community,6,533
complete,6,533
core,6,533
counties,6,533
created,6,533
creators,6,533
crime,6,533
dad,6,533
decade,6,533
democrats,6,533
development,6,533
didnt,6,533
doesnt,6,533
dream,6,533
drivers,6,533
early,6,533
educators,6,533
eliminate,6,533
especially,6,533
facing,6,533
finally,6,533
focused,6,533
fuel,6,533
gas,6,533
gets,6,533
governors,6,533
helping,6,533
heroes,6,533
house,6,533
huge,6,533
ice,6,533
importance,6,533
improved,6,533
industries,6,533
institutions,6,533
interests,6,533
isnt,6,533
joined,6,533
kind,6,533
leading,6,533
legislation,6,533
legislators,6,533
limited,6,533
lincoln,6,533
longer,6,533
maintain,6,533
matter,6,533
meet,6,533
