perpichwords,perpichcount,perpichrank
minnesota,293,1
will,256,2
state,208,3
must,124,4
people,110,5
jobs,86,6
can,83,7
government,82,8
tax,81,9
work,67,10
years,66,11
education,65,12
new,64,13
one,64,13
economic,61,15
job,57,16
year,53,17
program,49,18
help,48,19
make,48,19
system,47,21
need,46,22
minnesotans,44,23
legislature,43,24
states,43,24
budget,42,26
research,42,26
world,42,26
also,41,29
time,41,29
future,40,31
first,39,32
business,38,33
many,38,33
good,36,35
nation,36,35
school,36,35
major,35,38
now,35,38
percent,35,38
today,35,38
governor,34,42
resources,34,42
economy,32,44
best,31,45
energy,31,45
environment,31,45
high,30,48
minnesotas,29,49
want,29,49
ago,28,51
better,28,51
development,27,53
last,27,53
children,26,55
creation,26,55
every,26,55
goal,26,55
made,26,55
plan,26,55
taxes,26,55
back,25,62
like,25,62
past,25,62
programs,25,62
public,25,62
students,25,62
way,25,62
continue,24,69
members,24,69
schools,24,69
drugs,23,72
federal,23,72
four,23,72
know,23,72
rate,23,72
reform,23,72
strong,23,72
fund,22,79
quality,22,79
together,22,79
use,22,79
great,21,83
just,21,83
local,21,83
provide,21,83
workers,21,83
create,20,88
dollars,20,88
drug,20,88
environmental,20,88
income,20,88
national,20,88
recovery,20,88
services,20,88
technology,20,88
times,20,88
citizens,19,98
effort,19,98
hard,19,98
industry,19,98
much,19,98
natural,19,98
partnership,19,98
put,19,98
special,19,98
two,19,98
family,18,108
farm,18,108
governors,18,108
growth,18,108
important,18,108
legislative,18,108
let,18,108
look,18,108
million,18,108
money,18,108
number,18,108
session,18,108
spirit,18,108
three,18,108
well,18,108
already,17,123
corporation,17,123
country,17,123
cut,17,123
fiscal,17,123
greater,17,123
ideas,17,123
needs,17,123
products,17,123
see,17,123
spending,17,123
support,17,123
administration,16,135
businesses,16,135
form,16,135
give,16,135
life,16,135
making,16,135
propose,16,135
working,16,135
another,15,143
efforts,15,143
office,15,143
possible,15,143
protect,15,143
reserve,15,143
trade,15,143
become,14,150
bring,14,150
competitive,14,150
created,14,150
five,14,150
history,14,150
leadership,14,150
means,14,150
opportunity,14,150
private,14,150
university,14,150
weeks,14,150
ask,13,162
constitutional,13,162
develop,13,162
done,13,162
farmers,13,162
funding,13,162
international,13,162
investment,13,162
key,13,162
message,13,162
personal,13,162
president,13,162
report,13,162
said,13,162
say,13,162
second,13,162
six,13,162
thank,13,162
third,13,162
agriculture,12,181
brainpower,12,181
century,12,181
community,12,181
credit,12,181
educational,12,181
even,12,181
excellence,12,181
health,12,181
long,12,181
partnerships,12,181
proud,12,181
throughout,12,181
top,12,181
treatment,12,181
unemployment,12,181
ability,11,197
areas,11,197
blueprint,11,197
find,11,197
get,11,197
gone,11,197
justice,11,197
keep,11,197
management,11,197
next,11,197
opportunities,11,197
problems,11,197
property,11,197
small,11,197
take,11,197
tonight,11,197
week,11,197
ahead,10,214
believe,10,214
beyond,10,214
care,10,214
come,10,214
commitment,10,214
conservation,10,214
cost,10,214
court,10,214
day,10,214
determined,10,214
early,10,214
expand,10,214
families,10,214
financial,10,214
improve,10,214
increase,10,214
less,10,214
live,10,214
longterm,10,214
meet,10,214
mining,10,214
never,10,214
parents,10,214
place,10,214
pledge,10,214
policy,10,214
position,10,214
power,10,214
recommendations,10,214
reduce,10,214
reduction,10,214
service,10,214
society,10,214
speaker,10,214
training,10,214
wood,10,214
worked,10,214
access,9,252
always,9,252
among,9,252
asked,9,252
center,9,252
climate,9,252
company,9,252
crisis,9,252
dollar,9,252
duty,9,252
ever,9,252
expansion,9,252
forward,9,252
full,9,252
hope,9,252
iron,9,252
leaders,9,252
longer,9,252
move,9,252
point,9,252
productive,9,252
require,9,252
since,9,252
tell,9,252
took,9,252
water,9,252
without,9,252
act,8,279
attention,8,279
bad,8,279
challenge,8,279
change,8,279
chief,8,279
clean,8,279
college,8,279
commission,8,279
cooperation,8,279
difficult,8,279
enough,8,279
fact,8,279
fellow,8,279
food,8,279
highest,8,279
improved,8,279
individual,8,279
institute,8,279
labor,8,279
land,8,279
nations,8,279
necessary,8,279
officers,8,279
ore,8,279
proposals,8,279
rating,8,279
representative,8,279
respect,8,279
rest,8,279
right,8,279
role,8,279
run,8,279
share,8,279
sound,8,279
start,8,279
still,8,279
taxpayers,8,279
thanks,8,279
thousands,8,279
tomorrow,8,279
tradition,8,279
