quiewords,quiecount,quierank
will,143,1
state,96,2
must,57,3
minnesota,47,4
government,46,5
million,38,6
energy,36,7
local,36,7
can,32,9
people,30,10
tax,30,10
propose,25,12
percent,23,13
public,23,13
states,23,13
also,21,16
program,21,16
system,21,16
work,21,16
future,20,20
session,20,20
taxes,20,20
good,19,23
make,19,23
minnesotas,19,23
year,19,23
federal,18,27
jobs,18,27
one,18,27
income,17,30
now,17,30
legislative,15,32
legislature,15,32
new,15,32
recommend,15,32
years,15,32
next,14,37
increase,13,38
let,13,38
rate,13,38
services,13,38
first,12,42
proposal,12,42
budget,11,44
come,11,44
costs,11,44
economic,11,44
fuel,11,44
fund,11,44
great,11,44
job,11,44
just,11,44
last,11,44
many,11,44
private,11,44
resources,11,44
responsibility,11,44
school,11,44
society,11,44
spending,11,44
way,11,44
well,11,44
changes,10,63
development,10,63
education,10,63
environmental,10,63
governments,10,63
greater,10,63
inflation,10,63
legislation,10,63
less,10,63
need,10,63
oil,10,63
programs,10,63
property,10,63
proposals,10,63
support,10,63
technology,10,63
want,10,63
continue,9,80
done,9,80
encourage,9,80
help,9,80
issues,9,80
made,9,80
months,9,80
provide,9,80
revenues,9,80
schools,9,80
take,9,80
time,9,80
yes,9,80
citizens,8,93
conservation,8,93
current,8,93
efforts,8,93
free,8,93
get,8,93
homes,8,93
important,8,93
increased,8,93
know,8,93
look,8,93
may,8,93
meet,8,93
minnesotans,8,93
nation,8,93
past,8,93
process,8,93
revenue,8,93
sector,8,93
seek,8,93
third,8,93
three,8,93
transportation,8,93
ways,8,93
workers,8,93
aid,7,118
amendment,7,118
believe,7,118
certain,7,118
communities,7,118
enforcement,7,118
funding,7,118
high,7,118
indexing,7,118
keep,7,118
mandates,7,118
needs,7,118
officials,7,118
projected,7,118
relationship,7,118
report,7,118
research,7,118
role,7,118
sales,7,118
see,7,118
times,7,118
two,7,118
without,7,118
additional,6,141
agricultural,6,141
asked,6,141
beyond,6,141
change,6,141
credit,6,141
demand,6,141
difficult,6,141
drivers,6,141
end,6,141
fall,6,141
families,6,141
fellow,6,141
fiscal,6,141
given,6,141
impact,6,141
improve,6,141
industries,6,141
industry,6,141
major,6,141
national,6,141
opportunity,6,141
part,6,141
pay,6,141
per,6,141
personal,6,141
planning,6,141
problems,6,141
production,6,141
quality,6,141
recession,6,141
rise,6,141
second,6,141
share,6,141
able,5,175
action,5,175
actions,5,175
another,5,175
area,5,175
assistance,5,175
assure,5,175
back,5,175
begin,5,175
better,5,175
biennium,5,175
billion,5,175
call,5,175
care,5,175
center,5,175
cities,5,175
commitment,5,175
cost,5,175
crude,5,175
cut,5,175
decisions,5,175
different,5,175
district,5,175
drinking,5,175
economy,5,175
employees,5,175
even,5,175
every,5,175
expect,5,175
fact,5,175
find,5,175
five,5,175
general,5,175
highway,5,175
home,5,175
increases,5,175
individual,5,175
larger,5,175
law,5,175
lives,5,175
maintaining,5,175
market,5,175
members,5,175
officers,5,175
possible,5,175
potential,5,175
receive,5,175
recognize,5,175
reduce,5,175
remember,5,175
review,5,175
task,5,175
total,5,175
waste,5,175
water,5,175
within,5,175
world,5,175
adequate,4,232
ago,4,232
already,4,232
areas,4,232
average,4,232
balance,4,232
basic,4,232
become,4,232
best,4,232
business,4,232
cause,4,232
coming,4,232
committee,4,232
compensation,4,232
concern,4,232
constitutional,4,232
contributions,4,232
crisis,4,232
cutback,4,232
department,4,232
disposal,4,232
districts,4,232
dollar,4,232
enough,4,232
environment,4,232
equity,4,232
faster,4,232
four,4,232
fourth,4,232
gas,4,232
give,4,232
goal,4,232
growth,4,232
heating,4,232
improvements,4,232
incomes,4,232
information,4,232
initiatives,4,232
kind,4,232
largest,4,232
lead,4,232
level,4,232
levy,4,232
limits,4,232
means,4,232
men,4,232
mind,4,232
much,4,232
necessary,4,232
pelra,4,232
plan,4,232
raise,4,232
rates,4,232
rather,4,232
recommendations,4,232
reduced,4,232
reserves,4,232
responsibilities,4,232
ridesharing,4,232
roads,4,232
short,4,232
significantly,4,232
since,4,232
start,4,232
steps,4,232
strong,4,232
stronger,4,232
substantial,4,232
therefore,4,232
timber,4,232
together,4,232
united,4,232
university,4,232
use,4,232
value,4,232
women,4,232
act,3,308
actual,3,308
addition,3,308
affairs,3,308
agriculture,3,308
aids,3,308
allow,3,308
alternative,3,308
aspire,3,308
assist,3,308
associate,3,308
based,3,308
benefit,3,308
bill,3,308
board,3,308
