venturaword,venturacount,venturarank
will,122,1
state,111,2
tax,106,3
minnesota,86,4
people,66,5
budget,54,6
one,43,7
government,39,8
year,39,8
taxes,38,10
must,36,11
years,35,12
can,34,13
new,34,13
property,34,13
good,32,16
reform,32,16
system,32,16
every,31,19
last,31,19
sales,30,21
session,28,22
economy,27,23
spending,27,23
local,26,25
make,25,26
many,25,26
time,25,26
economic,24,29
legislature,24,29
money,24,29
two,24,29
business,23,33
need,23,33
also,22,35
education,22,35
even,22,35
first,22,35
legislative,22,35
best,20,40
important,20,40
work,20,40
like,19,43
public,19,43
things,19,43
today,19,43
development,18,47
dollars,18,47
election,18,47
propose,18,47
states,18,47
governor,17,52
services,17,52
want,17,52
world,17,52
believe,16,56
now,16,56
process,16,56
right,16,56
better,15,60
challenge,15,60
citizens,15,60
hard,15,60
help,15,60
plan,15,60
way,15,60
workforce,15,60
dont,14,68
just,14,68
support,14,68
three,14,68
big,13,72
elected,13,72
end,13,72
get,13,72
health,13,72
income,13,72
know,13,72
place,13,72
problem,13,72
take,13,72
taxpayers,13,72
working,13,72
another,12,84
care,12,84
decisions,12,84
future,12,84
great,12,84
let,12,84
much,12,84
pay,12,84
school,12,84
service,12,84
back,11,94
billion,11,94
campaign,11,94
competitive,11,94
cut,11,94
day,11,94
high,11,94
political,11,94
programs,11,94
resources,11,94
accountable,10,104
administration,10,104
candidates,10,104
changes,10,104
give,10,104
growth,10,104
making,10,104
met,10,104
million,10,104
question,10,104
reforms,10,104
responsibility,10,104
said,10,104
see,10,104
thank,10,104
address,9,119
biennium,9,119
businesses,9,119
create,9,119
department,9,119
fair,9,119
hope,9,119
keep,9,119
level,9,119
made,9,119
minnesotans,9,119
reforming,9,119
relief,9,119
results,9,119
sure,9,119
teacher,9,119
telecommunications,9,119
use,9,119
vote,9,119
bring,8,138
cities,8,138
come,8,138
commissioners,8,138
constitutional,8,138
districts,8,138
dollar,8,138
finally,8,138
finance,8,138
five,8,138
general,8,138
however,8,138
invest,8,138
less,8,138
life,8,138
long,8,138
lower,8,138
minnesotas,8,138
month,8,138
needs,8,138
problems,8,138
provide,8,138
rates,8,138
revenue,8,138
second,8,138
spend,8,138
teachers,8,138
term,8,138
thing,8,138
together,8,138
week,8,138
young,8,138
around,7,170
available,7,170
came,7,170
capitol,7,170
citizen,7,170
clear,7,170
company,7,170
ever,7,170
executive,7,170
fix,7,170
governments,7,170
house,7,170
including,7,170
information,7,170
job,7,170
laws,7,170
lets,7,170
major,7,170
may,7,170
months,7,170
nation,7,170
next,7,170
put,7,170
rate,7,170
responsible,7,170
say,7,170
schools,7,170
selfsufficiency,7,170
single,7,170
something,7,170
stand,7,170
still,7,170
thats,7,170
think,7,170
tough,7,170
value,7,170
weeks,7,170
well,7,170
worked,7,170
across,6,209
administrations,6,209
benefit,6,209
bold,6,209
century,6,209
changing,6,209
consideration,6,209
cost,6,209
costs,6,209
current,6,209
deliver,6,209
example,6,209
find,6,209
focus,6,209
four,6,209
goal,6,209
going,6,209
interest,6,209
leaders,6,209
national,6,209
open,6,209
percent,6,209
permanent,6,209
proposal,6,209
providers,6,209
run,6,209
set,6,209
strategy,6,209
times,6,209
transition,6,209
vision,6,209
ways,6,209
without,6,209
ability,5,242
access,5,242
agenda,5,242
ago,5,242
agree,5,242
already,5,242
areas,5,242
ask,5,242
become,5,242
begin,5,242
beliefs,5,242
brought,5,242
building,5,242
challengers,5,242
change,5,242
clearly,5,242
committee,5,242
competition,5,242
complicated,5,242
consider,5,242
continue,5,242
country,5,242
credit,5,242
cuts,5,242
debate,5,242
develop,5,242
didnt,5,242
done,5,242
easy,5,242
entire,5,242
expect,5,242
experience,5,242
face,5,242
fact,5,242
field,5,242
full,5,242
gets,5,242
goals,5,242
governors,5,242
hands,5,242
highest,5,242
home,5,242
huge,5,242
increase,5,242
interests,5,242
issues,5,242
join,5,242
law,5,242
learned,5,242
meet,5,242
message,5,242
monopoly,5,242
officials,5,242
often,5,242
old,5,242
opportunities,5,242
opportunity,5,242
part,5,242
passed,5,242
payments,5,242
playing,5,242
position,5,242
raise,5,242
ready,5,242
rebate,5,242
recession,5,242
result,5,242
sessions,5,242
share,5,242
since,5,242
solve,5,242
special,5,242
staff,5,242
students,5,242
tourism,5,242
towns,5,242
trade,5,242
understand,5,242
yes,5,242
yet,5,242
act,4,322
action,4,322
addition,4,322
aid,4,322
almost,4,322
always,4,322
amendment,4,322
approach,4,322
avoid,4,322
based,4,322
bill,4,322
bills,4,322
board,4,322
build,4,322
built,4,322
cant,4,322
capital,4,322
children,4,322
choice,4,322
choices,4,322
comes,4,322
commissioner,4,322
commitment,4,322
committed,4,322
cutting,4,322
dance,4,322
direct,4,322
earlier,4,322
eliminate,4,322
employees,4,322
encourage,4,322
ensure,4,322
especially,4,322
everyone,4,322
existing,4,322
family,4,322
fully,4,322
fund,4,322
getting,4,322
given,4,322
giving,4,322
got,4,322
greater,4,322
groups,4,322
hear,4,322
heard,4,322
higher,4,322
hold,4,322
homes,4,322
internet,4,322
labor,4,322
learn,4,322
least,4,322
leave,4,322
left,4,322
legislators,4,322
limit,4,322
little,4,322
lives,4,322
look,4,322
lot,4,322
makes,4,322
might,4,322
minneapolis,4,322
move,4,322
necessary,4,322
never,4,322
nursing,4,322
option,4,322
options,4,322
parties,4,322
past,4,322
paul,4,322
please,4,322
policy,4,322
politics,4,322
preserve,4,322
principles,4,322
priorities,4,322
program,4,322
projects,4,322
protect,4,322
provided,4,322
purpose,4,322
rather,4,322
rating,4,322
real,4,322
really,4,322
reduction,4,322
reductions,4,322
remember,4,322
reorganization,4,322
research,4,322
ride,4,322
role,4,322
room,4,322
saw,4,322
seen,4,322
send,4,322
served,4,322
simply,4,322
spent,4,322
start,4,322
step,4,322
stop,4,322
street,4,322
successful,4,322
talk,4,322
technology,4,322
tell,4,322
ten,4,322
third,4,322
told,4,322
took,4,322
top,4,322
toward,4,322
travel,4,322
truly,4,322
twin,4,322
unfair,4,322
university,4,322
whats,4,322
workers,4,322
works,4,322
accomplish,3,446
accountability,3,446
active,3,446
adapting,3,446
agency,3,446
agricultural,3,446
agriculture,3,446
allow,3,446
ambitious,3,446
american,3,446
amount,3,446
appropriate,3,446
arent,3,446
assured,3,446
attract,3,446
bad,3,446
beginning,3,446
belief,3,446
boards,3,446
books,3,446
branch,3,446
branches,3,446
budgets,3,446
burden,3,446
call,3,446
campaigns,3,446
certain,3,446
choose,3,446
collect,3,446
committees,3,446
communities,3,446
compete,3,446
considering,3,446
consumers,3,446
continuing,3,446
control,3,446
courage,3,446
course,3,446
created,3,446
currently,3,446
days,3,446
decided,3,446
developed,3,446
different,3,446
doesnt,3,446
early,3,446
effectively,3,446
effort,3,446
elections,3,446
emphasize,3,446
entitlements,3,446
entrepreneurial,3,446
environment,3,446
era,3,446
expectation,3,446
expenditures,3,446
expenses,3,446
facing,3,446
fairer,3,446
families,3,446
faster,3,446
fees,3,446
fey,3,446
fiscal,3,446
force,3,446
forces,3,446
form,3,446
forward,3,446
fruits,3,446
funding,3,446
funds,3,446
gallery,3,446
gimmicks,3,446
goes,3,446
growing,3,446
grown,3,446
happen,3,446
healthy,3,446
history,3,446
hopes,3,446
human,3,446
ideas,3,446
improving,3,446
incentive,3,446
include,3,446
increases,3,446
indeed,3,446
individual,3,446
industries,3,446
infrastructure,3,446
instructed,3,446
intended,3,446
interested,3,446
investments,3,446
involved,3,446
ive,3,446
january,3,446
jobs,3,446
lakes,3,446
lead,3,446
levels,3,446
levy,3,446
license,3,446
loan,3,446
logjams,3,446
marketplace,3,446
mayor,3,446
meat,3,446
mind,3,446
newly,3,446
offered,3,446
office,3,446
others,3,446
parent,3,446
parts,3,446
party,3,446
pass,3,446
paying,3,446
person,3,446
personally,3,446
phone,3,446
planning,3,446
point,3,446
possible,3,446
previous,3,446
price,3,446
private,3,446
projected,3,446
promised,3,446
promises,3,446
proud,3,446
quality,3,446
questions,3,446
raising,3,446
reality,3,446
reason,3,446
receive,3,446
recent,3,446
reformed,3,446
representatives,3,446
requires,3,446
respect,3,446
responsive,3,446
rest,3,446
rules,3,446
rural,3,446
safety,3,446
sam,3,446
sector,3,446
senate,3,446
sense,3,446
short,3,446
side,3,446
simple,3,446
sit,3,446
smaller,3,446
soft,3,446
source,3,446
speech,3,446
speed,3,446
spoke,3,446
sprawl,3,446
stay,3,446
structure,3,446
success,3,446
suggested,3,446
targeted,3,446
taxing,3,446
telephone,3,446
therefore,3,446
though,3,446
tobacco,3,446
tonight,3,446
total,3,446
town,3,446
transit,3,446
transportation,3,446
traveled,3,446
try,3,446
unicameral,3,446
used,3,446
ventura,3,446
visit,3,446
voters,3,446
welcome,3,446
went,3,446
weve,3,446
whole,3,446
willing,3,446
worse,3,446
youre,3,446
abundantly,2,637
accomplishing,2,637
accordingly,2,637
account,2,637
accounting,2,637
add,2,637
adjourn,2,637
adjustments,2,637
adopted,2,637
adult,2,637
advanced,2,637
advantage,2,637
ahead,2,637
allowed,2,637
allowing,2,637
allows,2,637
alone,2,637
along,2,637
alternative,2,637
anything,2,637
area,2,637
arts,2,637
asked,2,637
assisted,2,637
assure,2,637
attention,2,637
attitude,2,637
away,2,637
backup,2,637
balance,2,637
balanced,2,637
base,2,637
basement,2,637
basic,2,637
began,2,637
begins,2,637
behind,2,637
bemidji,2,637
betterment,2,637
bicameral,2,637
bloomington,2,637
bonding,2,637
born,2,637
brewery,2,637
brings,2,637
buy,2,637
cabins,2,637
cable,2,637
car,2,637
career,2,637
carousel,2,637
caucus,2,637
celebrate,2,637
center,2,637
chair,2,637
challenges,2,637
chamber,2,637
chart,2,637
child,2,637
circumstances,2,637
classroom,2,637
close,2,637
clothing,2,637
clubs,2,637
combine,2,637
commerce,2,637
common,2,637
community,2,637
companies,2,637
compensation,2,637
competitor,2,637
competitors,2,637
concern,2,637
continued,2,637
continues,2,637
contributions,2,637
controlled,2,637
controversial,2,637
corner,2,637
counties,2,637
county,2,637
court,2,637
crane,2,637
crashing,2,637
creates,2,637
