Name,Party,State,ID,Score,Chamber
"Walker, Neva",D,MN,470,-1.995,house
"Hornstein, Frank",D,MN,265,-1.879,house
"Dibble, D. Scott",D,MN,19,-1.872,senate
Clark,D,MN,182,-1.821,house
Hausman,D,MN,256,-1.818,house
Berglin,D,MN,8,-1.74,senate
"Dominguez, Augustine",D,MN,206,-1.74,house
"Kath, Kory",D,MN,286,-1.736,house
Kahn,D,MN,283,-1.709,house
"Murphy, Erin",D,MN,361,-1.701,house
Pappas,D,MN,94,-1.619,senate
Mariani,D,MN,336,-1.615,house
Anderson,D,MN,1,-1.613,senate
Wagenius,D,MN,469,-1.599,house
"Higgins, Linda",D,MN,35,-1.564,senate
"Thao, Cy",D,MN,453,-1.553,house
"Lourey, Tony",D,MN,71,-1.532,senate
Jaros,D,MN,274,-1.484,house
"Davnie, Jim",D,MN,194,-1.459,house
"Slocum, Linda",D,MN,436,-1.438,house
"Loeffler, Diane",D,MN,323,-1.411,house
"Kelliher, Margaret",D,MN,288,-1.395,house
"Paymar, Michael",D,MN,390,-1.392,house
Pogemiller,D,MN,97,-1.39,senate
Cohen,D,MN,16,-1.388,senate
"Mullery, Joe",D,MN,357,-1.385,house
Betzold,D,MN,9,-1.384,senate
Moua,D,MN,82,-1.371,senate
"Foley, Leo",D,MN,27,-1.366,senate
Greiling,D,MN,245,-1.359,house
"Tillberry, Tom",D,MN,456,-1.318,house
"Laine, Carolyn",D,MN,308,-1.3,house
"Torres Ray, Patricia",D,MN,132,-1.291,senate
"Lesch, John",D,MN,316,-1.266,house
"Brynaert, Kathy",D,MN,173,-1.261,house
"Hilty, Bill",D,MN,261,-1.241,house
"Sieben, Katie",D,MN,121,-1.208,senate
Marty,D,MN,74,-1.205,senate
"Chaudhary, Satveer",D,MN,13,-1.185,senate
"Knuth, Katherine",D,MN,298,-1.166,house
"Nelson, Michael",D,MN,365,-1.166,house
"Mahoney, Tim",D,MN,334,-1.144,house
"Hilstrom, Debra",D,MN,260,-1.141,house
"Sertich, Anthony",D,MN,428,-1.139,house
"Carlson, L.",D,MN,176,-1.137,house
"Winkler, Ryan",D,MN,485,-1.131,house
"Carlson, Jim",D,MN,11,-1.128,senate
"Latz, Ronald",D,MN,65,-1.112,senate
"Liebling, Tina",D,MN,317,-1.107,house
"Hansen, Rick",D,MN,253,-1.099,house
"Thissen, Paul",D,MN,454,-1.093,house
Huntley,D,MN,270,-1.072,house
"Simon, Steve",D,MN,431,-1.044,house
"Bly, David",D,MN,165,-1.039,house
"Lillie, Leon",D,MN,319,-1.022,house
"Tomassoni, David",D,MN,131,-1.018,senate
Clark,D,MN,15,-1.012,senate
"Madore, Shelley",D,MN,331,-0.998,house
"Slawik, Nora",D,MN,435,-0.994,house
"Hortman, Melissa",D,MN,266,-0.992,house
Dahle,D,MN,17,-0.981,senate
"Bigham, Karla",D,MN,161,-0.976,house
"Atkins, Joseph",D,MN,150,-0.974,house
"Benson, John",D,MN,154,-0.958,house
Rukavina,D,MN,413,-0.941,house
"Peterson, Aaron",D,MN,399,-0.939,house
"Sailer, Brita",D,MN,416,-0.936,house
"Gardner, Paul",D,MN,233,-0.93,house
"Bakk, Thomas",D,MN,3,-0.925,senate
Solberg,D,MN,439,-0.908,house
"Tschumper, Ken",D,MN,461,-0.905,house
"Saxhaug, Tom",D,MN,115,-0.891,senate
"Masin, Sandra",D,MN,338,-0.885,house
"Moe, Frank",D,MN,351,-0.885,house
