"name","coord1D","district","R.margin","party"
"Albright",0.7165758014,"55B",0.612,"R"
"Allen",-0.9014761448,"62B",0.104,"D"
"Anderson, C.",0.448844552,"50B",0.419,"R"
"Anderson, M.",0.8585583568,"9A",0.616,"R"
"Anderson, P.",0.6136210561,"12B",0.631,"R"
"Anderson, S.",0.7488928437,"44A",0.514,"R"
"Anzelc",-0.4398573339,"5B",0.495,"D"
"Applebaum",-0.7628647089,"44B",0.449,"D"
"Atkins",-0.5249239802,"52B",0.462,"D"
"Backer",0.6374775767,"12A",0.528,"R"
"Baker",0.5740658641,"17B",0.521,"R"
"Barrett",0.6996448636,"32B",0.562,"R"
"Bennett",0.622987926,"27A",0.432,"R"
"Bernardy",-0.9036847949,"41A",0.392,"D"
"Bly",-0.8764822483,"20B",0.448,"D"
"Carlson",-0.7096349001,"45A",0.396,"D"
"Christensen",0.808999896,"56A",0.518,"R"
"Clark",-0.8985462189,"62A",0.096,"D"
"Considine",-0.7241151333,"19B",0.412,"D"
"Cornish",0.611825943,"23B",0.517,"R"
"Daniels",0.6409733295,"24B",0.518,"R"
"Daudt",0.7806947231,"31A",0.637,"R"
"Davids",0.6185173988,"28B",0.473,"R"
"Davnie",-0.9920375943,"63A",0.147,"D"
"Dean, M.",0.7651363611,"38B",0.528,"R"
"Dehn, R.",-0.9438403249,"59B",0.176,"D"
"Dettmer",0.6740427613,"39A",0.541,"R"
"Dill",-0.3187932372,"3A",0.434,"D"
"Drazkowski",0.9338051677,"21B",0.55,"R"
"Ecklund",-0.4736144245,"3A",0.434,"D"
"Erhardt",-0.6102671027,"49A",0.472,"D"
"Erickson",0.8452841043,"15A",0.569,"R"
"Fabian",0.758906424,"1A",0.558,"R"
"Fenton",0.6842822433,"53B",0.526,"R"
"Fischer",-0.652735889,"43A",0.426,"D"
"Flanagan",-0.8247494102,"46A",0.344,"D"
"Franson",0.7008266449,"8B",0.59,"R"
"Freiberg",-0.8865339756,"45B",0.351,"D"
"Garofalo",0.7450301647,"58B",0.568,"R"
"Green",0.7958080173,"2B",0.571,"R"
"Gruenhagen",0.8321657777,"18B",0.621,"R"
"Gunther",0.6258336306,"23A",0.601,"R"
"Hackbarth",0.8507944942,"31B",0.607,"R"
"Halverson",-0.6463298202,"51B",0.476,"D"
"Hamilton",0.5333375931,"22B",0.552,"R"
"Hancock",0.8312808871,"2A",0.51,"R"
"Hansen",-0.7791169286,"52A",0.401,"D"
"Hausman",-0.969379127,"66A",0.326,"D"
"Heintzeman",0.6785368323,"10A",0.565,"R"
"Hertaus",0.8959606886,"33A",0.633,"R"
"Hilstrom",-0.6152079105,"40B",0.3,"D"
"Hoppe",0.6343269944,"47B",0.571,"R"
"Hornstein",-0.9201755524,"61A",0.199,"D"
"Hortman",-0.7349206805,"36B",0.458,"D"
"Howe",0.6548220515,"13A",0.581,"R"
"Isaacson",-0.6929924488,"42B",0.421,"D"
"Johnson, B.",0.6591260433,"32A",0.581,"R"
"Johnson, C.",-0.6145833135,"19A",0.462,"D"
"Johnson, S.",-0.8877353668,"67B",0.235,"D"
"Kahn",-0.936350286,"60B",0.202,"D"
"Kelly",0.6678792238,"21A",0.479,"R"
"Kiel",0.7215873003,"1B",0.53,"R"
"Knoblach",0.5831193328,"14B",0.45,"R"
"Koznick",0.7699880004,"58A",0.57,"R"
"Kresha",0.6680120826,"9B",0.616,"R"
"Laine",-0.8667301536,"41B",0.362,"D"
"Lenczewski",-0.6826151609,"50B",0.419,"D"
"Lesch",-0.8083744049,"66B",0.193,"D"
"Liebling",-0.9810740948,"26A",0.408,"D"
"Lien",-0.5175726414,"4A",0.433,"D"
"Lillie",-0.5827127099,"43B",0.412,"D"
"Loeffler",-0.9051584601,"60A",0.194,"D"
"Lohmer",0.7833771706,"39B",0.514,"R"
"Loon",0.6166706085,"48B",0.525,"R"
"Loonan",0.7086273432,"55A",0.528,"R"
"Lucero",0.9730846286,"30B",0.629,"R"
