"year","month","tickets","avgover","yearmon"
"2014","01",2116,15.6643026004728,2014-01-01
"2014","02",2044,15.7077826725404,2014-02-01
"2014","03",3534,16.1206457094308,2014-03-01
"2014","04",3259,16.1507059545734,2014-04-01
"2014","05",4396,16.0223082176189,2014-05-01
"2014","06",4219,15.8361782835467,2014-06-01
"2014","07",5149,16.2027972027972,2014-07-01
"2014","08",4993,15.8709935897436,2014-08-01
"2014","09",4264,15.8406477352734,2014-09-01
"2014","10",4347,15.9286700414174,2014-10-01
"2014","11",3210,16.1751324400125,2014-11-01
"2014","12",3080,16.075349139331,2014-12-01
"2015","01",3136,16.1553429027113,2015-01-01
"2015","02",2908,16.0519614590502,2015-02-01
"2015","03",4211,16.2453681710214,2015-03-01
"2015","04",3782,15.7110346652554,2015-04-01
"2015","05",4425,16.1284486657621,2015-05-01
"2015","06",4179,16.0330459770115,2015-06-01
"2015","07",7695,16.1107500324971,2015-07-01
"2015","08",6649,16.011279891713,2015-08-01
"2015","09",6277,16.0907206632653,2015-09-01
"2015","10",6763,15.9766272189349,2015-10-01
"2015","11",6541,16.0948447299985,2015-11-01
"2015","12",5570,16.1737881508079,2015-12-01
"2016","01",5552,15.8201477743738,2016-01-01
"2016","02",5623,16.1417897171322,2016-02-01
"2016","03",6921,16.0371494651633,2016-03-01
"2016","04",6815,15.9256975036711,2016-04-01
"2016","05",7436,15.7716630785791,2016-05-01
"2016","06",6631,15.9912492456246,2016-06-01
"2016","07",8756,15.8601622300925,2016-07-01
"2016","08",7532,15.740770252324,2016-08-01
"2016","09",6858,15.7911318553092,2016-09-01
"2016","10",7189,15.79938786867,2016-10-01
"2016","11",7093,15.8110014104372,2016-11-01
"2016","12",4794,15.801211108791,2016-12-01
"2017","01",4882,15.6581319131503,2017-01-01
"2017","02",6227,15.9804047542563,2017-02-01
"2017","03",7096,16.0420191765369,2017-03-01
"2017","04",7022,15.7129827561636,2017-04-01
"2017","05",7436,15.8804143126177,2017-05-01
