"","Sex","Race","Involvement.Type","Reported.Date","ICR","year"
"1","Male","White","Arrested",2011-01-03,11000017,2011
"2","Male","White","Arrested",2011-01-01,11000003,2011
"3","Male","White","Arrested",2011-01-03,11000012,2011
"4","Male","White","Arrested",2011-01-03,11000042,2011
"5","Male","Not available","Arrested",2011-01-06,11000073,2011
"6","Male","Black","Arrested",2011-01-05,11000076,2011
"7","Male","White","Arrested",2011-01-05,11000081,2011
"8","Male","White","Arrested",2011-01-03,11000089,2011
"9","Male","Asian or Pacific Islander","Arrested",2011-01-01,11000090,2011
"10","Male","White","Arrested",2011-01-04,11000091,2011
"11","Male","White","Arrested",2011-01-05,11000092,2011
"12","Male","Black","Arrested",2011-01-02,11000096,2011
"13","Male","White","Arrested",2011-01-06,11000097,2011
"14","Male","White","Arrested",2011-01-03,11000098,2011
"15","Male","Black","Arrested",2011-01-06,11000103,2011
"16","Female","White","Arrested",2011-01-06,11000107,2011
"17","Female","White","Arrested",2011-01-05,11000115,2011
"18","Male","White","Arrested",2011-01-05,11000116,2011
"19","Female","White","Arrested",2011-01-07,11000117,2011
"20","Male","White","Arrested",2011-01-08,11000138,2011
"21","Female","White","Arrested",2011-01-08,11000150,2011
"22","Male","Black","Arrested",2011-01-09,11000157,2011
"23","Female","White","Arrested",2011-01-09,11000160,2011
"24","Male","None Selected","Arrested",2011-01-10,11000170,2011
"25","Male","White","Arrested",2011-01-10,11000172,2011
"26","Male","White","Arrested",2011-01-10,11000178,2011
"27","Male","Black","Arrested",2011-01-10,11000181,2011
"28","Male","None Selected","Arrested",2011-01-10,11000193,2011
"29","Female","None Selected","Arrested",2011-01-10,11000193,2011
"30","Male","Black","Arrested",2011-01-10,11000191,2011
"31","Male","Black","Arrested",2011-01-10,11000196,2011
"32","Male","White","Arrested",2011-01-07,11000199,2011
"33","Female","White","Arrested",2011-01-11,11000224,2011
"34","Male","White","Arrested",2011-01-12,11000240,2011
"35","Female","Unknown","Arrested",2011-01-12,11000256,2011
"36","Male","Black","Arrested",2011-01-12,11000268,2011
"37","Male","White","Arrested",2011-01-13,11000275,2011
"38","Male","Black","Arrested",2011-01-13,11000279,2011
"39","Male","White","Arrested",2011-01-13,11000283,2011
"40","Male","Black","Arrested",2011-01-13,11000298,2011
"41","Male","Asian or Pacific Islander","Arrested",2011-01-14,11000301,2011
"42","Female","White","Arrested",2011-01-14,11000302,2011
"43","Male","Black","Arrested",2011-01-14,11000309,2011
"44","Male","White","Arrested",2011-01-14,11000312,2011
"45","Female","White","Arrested",2011-01-14,11000317,2011
"46","Male","Black","Arrested",2011-01-14,11000320,2011
"47","Male","White","Arrested",2011-01-14,11000334,2011
"48","Male","White","Arrested",2011-01-14,11000327,2011
"49","Female","Black","Arrested",2011-01-14,11000326,2011
"50","Female","None Selected","Arrested",2011-01-15,11000347,2011
"51","Male","White","Arrested",2011-01-15,11000351,2011
"52","Male","Black","Arrested",2011-01-16,11000361,2011
"53","Male","White","Arrested",2011-01-16,11000354,2011
"54","Male","Black","Arrested",2011-01-16,11000357,2011
"55","Female","Asian or Pacific Islander","Arrested",2011-01-16,11000367,2011
"56","Male","Not available","Arrested",2011-01-16,11000368,2011
"57","Male","White","Arrested",2011-01-16,11000371,2011
"58","Male","None Selected","Arrested",2011-01-13,11000291,2011
"59","Male","Black","Arrested",2011-01-17,11000383,2011
"60","Male","White","Arrested",2011-01-17,11000388,2011
"61","Male","White","Arrested",2011-01-18,11000404,2011
"62","Female","White","Arrested",2011-01-18,11000409,2011
"63","Male","White","Arrested",2011-01-18,11000409,2011
"64","Female","White","Arrested",2011-01-19,11000416,2011
