"","Race","Involvement.Type","year","freq","share_of_action","disposition_by_race"
"1","American Indian or Alaskan Native","Arrested",2011,20,0.00908265213442325,0.740740740740741
"2","American Indian or Alaskan Native","Arrested",2012,16,0.00796019900497512,0.727272727272727
"3","American Indian or Alaskan Native","Arrested",2013,25,0.0116767865483419,0.714285714285714
"4","American Indian or Alaskan Native","Arrested",2014,15,0.0075,0.714285714285714
"5","American Indian or Alaskan Native","Arrested",2015,20,0.00939408172851104,0.833333333333333
"6","American Indian or Alaskan Native","Arrested",2016,11,0.0110887096774194,0.785714285714286
"7","American Indian or Alaskan Native","Cited",2011,7,0.00289375775113683,0.259259259259259
"8","American Indian or Alaskan Native","Cited",2012,6,0.00253592561284869,0.272727272727273
"9","American Indian or Alaskan Native","Cited",2013,10,0.00378931413414172,0.285714285714286
"10","American Indian or Alaskan Native","Cited",2014,4,0.00156433320297223,0.19047619047619
"11","American Indian or Alaskan Native","Cited",2015,3,0.00102669404517454,0.125
"12","American Indian or Alaskan Native","Cited",2016,1,0.00104166666666667,0.0714285714285714
"13","American Indian or Alaskan Native","Warned",2014,2,0.00632911392405063,0.0952380952380952
"14","American Indian or Alaskan Native","Warned",2015,1,0.00240963855421687,0.0416666666666667
"15","American Indian or Alaskan Native","Warned",2016,2,0.00956937799043062,0.142857142857143
"16","Asian or Pacific Islander","Arrested",2011,77,0.0349682107175295,0.351598173515982
"17","Asian or Pacific Islander","Arrested",2012,64,0.0318407960199005,0.309178743961353
"18","Asian or Pacific Islander","Arrested",2013,71,0.033162073797291,0.314159292035398
"19","Asian or Pacific Islander","Arrested",2014,73,0.0365,0.295546558704453
"20","Asian or Pacific Islander","Arrested",2015,101,0.0474401127289807,0.302395209580838
"21","Asian or Pacific Islander","Arrested",2016,48,0.0483870967741935,0.4
"22","Asian or Pacific Islander","Cited",2011,142,0.0587019429516329,0.648401826484018
"23","Asian or Pacific Islander","Cited",2012,143,0.0604395604395604,0.690821256038647
"24","Asian or Pacific Islander","Cited",2013,151,0.05721864342554,0.668141592920354
"25","Asian or Pacific Islander","Cited",2014,158,0.0617911615174032,0.639676113360324
"26","Asian or Pacific Islander","Cited",2015,208,0.0711841204654346,0.622754491017964
"27","Asian or Pacific Islander","Cited",2016,55,0.0572916666666667,0.458333333333333
"28","Asian or Pacific Islander","Warned",2013,4,0.0625,0.0176991150442478
"29","Asian or Pacific Islander","Warned",2014,16,0.0506329113924051,0.0647773279352227
"30","Asian or Pacific Islander","Warned",2015,25,0.0602409638554217,0.0748502994011976
"31","Asian or Pacific Islander","Warned",2016,17,0.0813397129186603,0.141666666666667
"32","Black","Arrested",2011,723,0.328337874659401,0.746900826446281
"33","Black","Arrested",2012,754,0.375124378109453,0.737047898338221
"34","Black","Arrested",2013,786,0.367118169079869,0.71260199456029
"35","Black","Arrested",2014,763,0.3815,0.675819309123118
"36","Black","Arrested",2015,871,0.409112259276656,0.622587562544675
"37","Black","Arrested",2016,468,0.471774193548387,0.727838258164852
"38","Black","Cited",2011,244,0.100868127325341,0.252066115702479
"39","Black","Cited",2012,265,0.11200338123415,0.259042033235582
"40","Black","Cited",2013,311,0.117847669571808,0.28195829555757
"41","Black","Cited",2014,298,0.116542823621431,0.263950398582817
"42","Black","Cited",2015,436,0.1492128678987,0.311651179413867
"43","Black","Cited",2016,141,0.146875,0.219284603421462
"44","Black","Warned",2011,1,0.0909090909090909,0.00103305785123967
"45","Black","Warned",2012,4,0.166666666666667,0.00391006842619746
"46","Black","Warned",2013,6,0.09375,0.00543970988213962
"47","Black","Warned",2014,68,0.215189873417722,0.0602302922940655
